0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Data Analytics: Dashboards vs. Data Stories;Course;Popular;;;Show more options for Data Analytics: Dashboards vs. Data Stories;;;Save;;;17m;;;;Beginner;Oct 2021;;;;;LinkedIn;;;By: Madecraft and Sara Anstey;
Practice Exam 1 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 1 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;;LinkedIn;;By: Total Seminars;;;
Excel Statistics Essential Training: 2;Course;Popular;;;Show more options for Excel Statistics Essential Training: 2;;;Save;;;3h 24m;;;;Advanced;Oct 2023;;;;;LinkedIn;;;By: Eddie Davila;
Explore a Career in Data Analysis;Learning Path;;;Show more options for Explore a Career in Data Analysis;;;Save;;;14h;;;Updated Dec 2023;;;;;LinkedIn;;;;;;;
Data Analysis with PostgreSQL;Course;;;Show more options for Data Analysis with PostgreSQL;;;Save;;;2h 31m;;Intermediate;;;1 month ago;;;;;LinkedIn;;By: Adam Wilbert;;;
Microsoft Power BI Data Analyst Associate (PL-300) Cert Prep by Microsoft Press;Course;Updated;Popular;;;Show more options for Microsoft Power BI Data Analyst Associate (PL-300) Cert Prep by Microsoft Press;;;Save;;;;;5h 37m;;Intermediate;Updated 3 weeks ago;;;;;;LinkedIn;;By: Microsoft Press and Chris Sorensen
No-Code Data Analysis and Visualization with ChatGPT;Course;Popular;;;Show more options for No-Code Data Analysis and Visualization with ChatGPT;;;Save;;;36m;;;;Intermediate;1 month ago;;;;;LinkedIn;;;By: Alina Zhang;
The Data Game of Fantasy Football;Course;;;Show more options for The Data Game of Fantasy Football;;;Save;;;1h 22m;;Beginner + Intermediate;;;Jul 2019;;;;;LinkedIn;;By: Eddie Davila;;;
Introduction to Career Skills in Data Analytics;Course;Popular;;;Show more options for Introduction to Career Skills in Data Analytics;;;Save;;;2h 21m;;;;Beginner;Aug 2022;;;;;LinkedIn;;;By: Robin Hunt;
SQL: Data Reporting and Analysis;Course;Popular;;;Show more options for SQL: Data Reporting and Analysis;;;Save;;;2h 32m;;;;Intermediate;Jul 2022;;;;;LinkedIn;;;By: Emma Saunders;
Everybody's Introduction to Tableau;Course;;;"Show more options for Everybody&amp;#39;s Introduction to Tableau";;;Save;;;1h 13m;;Beginner;;;4 months ago;;;;;LinkedIn;;By: Tim Ngwena;;;
Python Data Analysis for Healthcare;Course;Popular;;;Show more options for Python Data Analysis for Healthcare;;;Save;;;2h 48m;;;;Advanced;Apr 2024;;;;;LinkedIn;;;By: Wuraola Oyewusi;
Introduction to Analytics Engineering;Course;;;Show more options for Introduction to Analytics Engineering;;;Save;;;56m;;Beginner;;;Jun 2023;;;;;LinkedIn;;By: Amataverna Lee;;;
Learning Data Analytics Part 2: Extending and Applying Core Knowledge;Course;Popular;;;Show more options for Learning Data Analytics Part 2: Extending and Applying Core Knowledge;;;Save;;;3h 22m;;;;Beginner;Updated Dec 2023;;;;;LinkedIn;;;By: Robin Hunt;
Statistics Foundations 3: Using Data Sets;Course;Popular;;;Show more options for Statistics Foundations 3: Using Data Sets;;;Save;;;1h 40m;;;;Intermediate;Jul 2022;;;;;LinkedIn;;;By: Eddie Davila;
Mastering Lookup Functions in Excel: Seven Powerful Formulas;Course;Popular;;;Show more options for Mastering Lookup Functions in Excel: Seven Powerful Formulas;;;Save;;;1h 15m;;;;Intermediate;4 months ago;;;;;LinkedIn;;;By: Josh Aharonoff;
Data Analytics for Pricing Analysts in Excel;Course;;;Show more options for Data Analytics for Pricing Analysts in Excel;;;Save;;;2h 4m;;Advanced;;;Oct 2023;;;;;LinkedIn;;By: Michael McDonald;;;
Complete Guide to Generative AI for Data Analysis and Data Science;Course;New;Popular;;;Show more options for Complete Guide to Generative AI for Data Analysis and Data Science;;;Save;;;;;10h;;Intermediate;1 week ago;;;;;;LinkedIn;;By: Dan Sullivan
Python for Data Analysis: Solve Real-World Challenges;Course;;;Show more options for Python for Data Analysis: Solve Real-World Challenges;;;Save;;;2h 4m;;Intermediate;;;Updated 3 months ago;;;;;LinkedIn;;By: Sarah Om;;;
Open Data: Unleashing Hidden Value;Course;;;Show more options for Open Data: Unleashing Hidden Value;;;Save;;;1h 11m;;Intermediate;;;Nov 2016;;;;;LinkedIn;;By: Jonathan Reichental;;;
Practice Exam 3 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 3 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;;LinkedIn;;By: Total Seminars;;;
SPSS Statistics Essential Training;Course;Popular;;;Show more options for SPSS Statistics Essential Training;;;Save;;;2h 24m;;;;Intermediate;Jan 2024;;;;;LinkedIn;;;By: Barton Poulson;
Practice Exam 2 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 2 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;;LinkedIn;;By: Total Seminars;;;
Azure Data Fundamentals (DP-900) Cert Prep: 1 Core Data Concepts;Course;;;Show more options for Azure Data Fundamentals (DP-900) Cert Prep: 1 Core Data Concepts;;;Save;;;53m;;Beginner;;;Mar 2022;;;;;LinkedIn;;By: Gregor Suttie;;;
Cleaning, Transforming and Prepping Your Data With Tableau Prep;Course;;;Show more options for Cleaning, Transforming and Prepping Your Data With Tableau Prep;;;Save;;;2h 28m;;Intermediate;;;Jan 2019;;;;;LinkedIn;;By: Matt Francis;;;
Turning Data into Strategies;Course;;;Show more options for Turning Data into Strategies;;;Save;;;51m;;General;;;2 months ago;;;;;LinkedIn;;By: Madecraft and Rebeca Pop;;;
Practice Exam 4 for Power BI Data Analyst Associate (PL-300);Course;;;Show more options for Practice Exam 4 for Power BI Data Analyst Associate (PL-300);;;Save;;;4m 12s;;Intermediate;;;May 2024;;;;;LinkedIn;;By: Total Seminars;;;
Power BI Data Visualization and Dashboard Tips, Tricks, & Techniques;Course;Popular;;;"Show more options for Power BI Data Visualization and Dashboard Tips, Tricks, &amp;amp; Techniques";;;Save;;;1h 59m;;;;Beginner + Intermediate;Mar 2021;;;;;LinkedIn;;;By: Emma Saunders;
Data Visualization: A Lesson and Listen Series;Course;Updated;Popular;;;Show more options for Data Visualization: A Lesson and Listen Series;;;Save;;;;;26h;;Intermediate;Updated 3 weeks ago;;;;;;LinkedIn;;By: Bill Shander
Design Thinking: Data Intelligence;Course;Popular;;;Show more options for Design Thinking: Data Intelligence;;;Save;;;44m;;;;Intermediate;Apr 2018;;;;;LinkedIn;;;By: Randall Elliott and frog;
Power BI: Dashboards for Beginners;Course;Popular;;;Show more options for Power BI: Dashboards for Beginners;;;Save;;;33m;;;;Intermediate;3 months ago;;;;;LinkedIn;;;By: Joshua Rischin;
CompTIA Data+ (DA0-001) Cert Prep: 3 Data Analysis;Course;;;Show more options for CompTIA Data+ (DA0-001) Cert Prep: 3 Data Analysis;;;Save;;;1h;;Intermediate;;;Dec 2021;;;;;LinkedIn;;By: Mike Chapple;;;
Advanced Hands-On Python: Working with Excel and Spreadsheet Data;Course;;;Show more options for Advanced Hands-On Python: Working with Excel and Spreadsheet Data;;;Save;;;2h 45m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Joe Marini;;;
Using color in data visualization;Audio;;;Show more options for Using color in data visualization;;;Save;;;4m 54s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Becoming a Data Entrepreneur;;;;
Career Essentials in Data Analysis by Microsoft and LinkedIn;Professional Certificate;;;Show more options for Career Essentials in Data Analysis by Microsoft and LinkedIn;;;Save;;;9h 13m;;;Updated Dec 2023;;;;;;Provided by Microsoft and LinkedIn;;;;;;
Power BI Data Analyst Associate (PL-300) Cert Prep: Managing Datasets in Power BI;Course;;;Show more options for Power BI Data Analyst Associate (PL-300) Cert Prep: Managing Datasets in Power BI;;;Save;;;1h 17m;;Intermediate;;;May 2023;;;;;LinkedIn;;By: Emilio Melo;;;
Data Analytics: Graph Analytics;Course;;;Show more options for Data Analytics: Graph Analytics;;;Save;;;19m;;Beginner;;;Oct 2021;;;;;LinkedIn;;By: Heather Johnson and Madecraft;;;
Data Visualizations with Plotly;Course;;;Show more options for Data Visualizations with Plotly;;;Save;;;55m;;Beginner;;;Feb 2021;;;;;LinkedIn;;By: Brett Vanderblock and Madecraft;;;
Top 10 Skills for Healthcare Data Analysts;Course;Popular;;;Show more options for Top 10 Skills for Healthcare Data Analysts;;;Save;;;30m;;;;Beginner;May 2023;;;;;LinkedIn;;;By: Ben Sullins and Free the Data Academy;
Miss Excel’s Top Productivity Hacks;Course;Popular;;;Show more options for Miss Excel’s Top Productivity Hacks;;;Save;;;1h 7m;;;;Intermediate;Mar 2022;;;;;LinkedIn;;;By: Kat Norton;
Power BI Data Methods;Course;Popular;;;Show more options for Power BI Data Methods;;;Save;;;3h 12m;;;;Advanced;Mar 2024;;;;;LinkedIn;;;By: Helen Wall;
Certified Analytics Professional (CAP) Cert Prep;Course;Popular;;;Show more options for Certified Analytics Professional (CAP) Cert Prep;;;Save;;;2h 33m;;;;Intermediate;Feb 2023;;;;;LinkedIn;;;By: Jungwoo Ryoo;
Python in Excel for Financial Professionals;Course;;;Show more options for Python in Excel for Financial Professionals;;;Save;;;48m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Christian Martinez;;;
Introduction to Tableau Pulse;Course;;;Show more options for Introduction to Tableau Pulse;;;Save;;;36m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Tim Ngwena;;;
Excel Business Intelligence: Power Pivot, DAX and Data Modeling;Course;Popular;;;Show more options for Excel Business Intelligence: Power Pivot, DAX and Data Modeling;;;Save;;;6h 56m;;;;Intermediate;2 months ago;;;;;LinkedIn;;;By: Maven Analytics and Chris Dutton;
Actionable Insights and Business Data in Practice;Course;;;Show more options for Actionable Insights and Business Data in Practice;;;Save;;;1h 33m;;Intermediate;;;Jun 2023;;;;;LinkedIn;;By: Barton Poulson;;;
Python Functions for Data Science;Course;;;Show more options for Python Functions for Data Science;;;Save;;;1h 30m;;Intermediate;;;Oct 2020;;;;;LinkedIn;;By: Lavanya Vijayan and Madecraft;;;
Becoming a Data Analyst (Whether That Word Is in Your Title or Not);Course;;;Show more options for Becoming a Data Analyst (Whether That Word Is in Your Title or Not);;;Save;;;59m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Kevin Hartman;;;
Complete Guide to SQL for Data Engineering: from Beginner to Advanced;Course;Popular;;;Show more options for Complete Guide to SQL for Data Engineering: from Beginner to Advanced;;;Save;;;7h 11m;;;;Intermediate;4 months ago;;;;;LinkedIn;;;By: Deepak Goyal;
Getting Started with Power BI;Course;Updated;Popular;;;Show more options for Getting Started with Power BI;;;Save;;;;;1h 39m;;Beginner;Updated 2 months ago;;;;;;LinkedIn;;By: Gini von Courter
Using Tableau to Discover Powerful Business Insights;Course;;;Show more options for Using Tableau to Discover Powerful Business Insights;;;Save;;;1h 58m;;Intermediate;;;Mar 2022;;;;;LinkedIn;;By: John David Ariansen and Madecraft;;;
Excel: Creating a Basic Dashboard;Course;Popular;;;Show more options for Excel: Creating a Basic Dashboard;;;Save;;;1h 6m;;;;Intermediate;Feb 2022;;;;;LinkedIn;;;By: Curt Frye;
Data Analytics with Observable;Course;;;Show more options for Data Analytics with Observable;;;Save;;;2h 9m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Bill Shander;;;
Advanced Power BI: DAX Language, Formulas, and Calculations;Course;Popular;;;Show more options for Advanced Power BI: DAX Language, Formulas, and Calculations;;;Save;;;3h 3m;;;;Advanced;Oct 2022;;;;;LinkedIn;;;By: Helen Wall;
Excel: Economic Analysis and Data Analytics;Course;Popular;;;Show more options for Excel: Economic Analysis and Data Analytics;;;Save;;;2h 17m;;;;Intermediate;Aug 2022;;;;;LinkedIn;;;By: Michael McDonald;
Hands-On Data Science using SQL, Tableau, Python, and Spark;Course;Popular;;;Show more options for Hands-On Data Science using SQL, Tableau, Python, and Spark;;;Save;;;1h 13m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Ben Sullins and Free the Data Academy;
Excel 2016: Managing and Analyzing Data;Course;;;Show more options for Excel 2016: Managing and Analyzing Data;;;Save;;;3h;;Intermediate;;;Aug 2016;;;;;LinkedIn;;By: Dennis Taylor;;;
Starting Your Career as a Financial Analyst;Course;Popular;;;Show more options for Starting Your Career as a Financial Analyst;;;Save;;;44m;;;;General;May 2022;;;;;LinkedIn;;;By: Free the Data Podcast and Ben Sullins;
Become a Power BI Specialist;Learning Path;;;Show more options for Become a Power BI Specialist;;;Save;;;10h;;;Updated 2 months ago;;;;;LinkedIn;;;;;;;
Advanced SQL for Data Science: Time Series;Course;Popular;;;Show more options for Advanced SQL for Data Science: Time Series;;;Save;;;1h 20m;;;;Advanced;Updated Mar 2024;;;;;LinkedIn;;;By: Dan Sullivan;
Learning SQL Programming;Course;Popular;;;Show more options for Learning SQL Programming;;;Save;;;1h 48m;;;;Beginner;Updated Dec 2023;;;;;LinkedIn;;;By: Scott Simpson;
Using Data in Financial Analysis;Course;;;Show more options for Using Data in Financial Analysis;;;Save;;;1h 44m;;Intermediate;;;Nov 2023;;;;;LinkedIn;;By: Michael McDonald;;;
Power BI Top Skills;Course;Popular;;;Show more options for Power BI Top Skills;;;Save;;;1h 1m;;;;Intermediate;Feb 2022;;;;;LinkedIn;;;By: John David Ariansen and Madecraft;
Tableau Speed and Performance;Course;New;;;Show more options for Tableau Speed and Performance;;;Save;;;3h 14m;;;;Advanced;3 weeks ago;;;;;LinkedIn;;;By: Maven Analytics and Dustin Cabral;
Improving Insights with OpenAI's Advanced Data Analysis;Course;;;"Show more options for Improving Insights with OpenAI&amp;#39;s Advanced Data Analysis";;;Save;;;15m;;Intermediate;;;Nov 2023;;;;;LinkedIn;;By: Ray Villalobos;;;
Excel: Data Validation in Depth;Course;;;Show more options for Excel: Data Validation in Depth;;;Save;;;2h 1m;;Advanced;;;May 2023;;;;;LinkedIn;;By: Robin Hunt;;;
Transitioning to full-time data analyst;Audio;;;Show more options for Transitioning to full-time data analyst;;;Save;;;3m 26s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Becoming a Data Entrepreneur;;;;
Data Science Foundations: Data Mining in Python;Course;;;Show more options for Data Science Foundations: Data Mining in Python;;;Save;;;3h 3m;;Intermediate;;;Mar 2021;;;;;LinkedIn;;By: Barton Poulson;;;
The Data Science of Retail, Sales, and Commerce;Course;;;Show more options for The Data Science of Retail, Sales, and Commerce;;;Save;;;1h 10m;;General;;;Updated Apr 2018;;;;;LinkedIn;;By: Barton Poulson;;;
Excel with Copilot: AI-Driven Data Analysis;Course;Updated;Popular;;;Show more options for Excel with Copilot: AI-Driven Data Analysis;;;Save;;;;;1h 32m;;Intermediate;Updated 3 weeks ago;;;;;;LinkedIn;;By: George Mount
ChatGPT and Power BI;Course;Popular;;;Show more options for ChatGPT and Power BI;;;Save;;;1h 56m;;;;Intermediate;4 months ago;;;;;LinkedIn;;;By: Maven Analytics and Aaron Parry;
Creating Interactive Tableau Dashboards;Course;;;Show more options for Creating Interactive Tableau Dashboards;;;Save;;;3h 28m;;Intermediate;;;Jul 2019;;;;;LinkedIn;;By: Matt Francis;;;
Using Power BI with Excel;Course;Popular;;;Show more options for Using Power BI with Excel;;;Save;;;48m;;;;Intermediate;Feb 2022;;;;;LinkedIn;;;By: John David Ariansen and Madecraft;
Excel: Dashboards for Beginners;Course;Popular;;;Show more options for Excel: Dashboards for Beginners;;;Save;;;45m;;;;Beginner;Mar 2022;;;;;LinkedIn;;;By: Jordan Goldmeier;
Predictive Analytics Essential Training: Data Mining;Course;Popular;;;Show more options for Predictive Analytics Essential Training: Data Mining;;;Save;;;1h 54m;;;;Intermediate;Oct 2021;;;;;LinkedIn;;;By: Keith McCormick;
Power BI Quick Tips;Course;Popular;;;Show more options for Power BI Quick Tips;;;Save;;;35m;;;;General;Updated Dec 2023;;;;;LinkedIn;;;By: Heather Severino;
Economics: Quantitative Demand Analysis;Course;Popular;;;Show more options for Economics: Quantitative Demand Analysis;;;Save;;;59m;;;;Beginner + Intermediate;May 2023;;;;;LinkedIn;;;By: Stefan Michel;
Complete Your First Project in R;Course;;;Show more options for Complete Your First Project in R;;;Save;;;2h 14m;;Intermediate;;;Mar 2024;;;;;LinkedIn;;By: Megan Silvey;;;
SQL for Finance: Income Statement Project;Course;Updated;Popular;;;Show more options for SQL for Finance: Income Statement Project;;;Save;;;;;2h 20m;;Intermediate;Updated 4 weeks ago;;;;;;LinkedIn;;By: Gabriela Baldivia Soncini
Power BI Data Dashboards;Course;Popular;;;Show more options for Power BI Data Dashboards;;;Save;;;2h 24m;;;;Intermediate;Aug 2023;;;;;LinkedIn;;;By: Helen Wall;
Using Public Health Data Sources;Course;;;Show more options for Using Public Health Data Sources;;;Save;;;55m;;Intermediate;;;Sep 2020;;;;;LinkedIn;;By: Madecraft and Jennifer Shin;;;
Excel: Lookup Functions in Depth;Course;Popular;;;Show more options for Excel: Lookup Functions in Depth;;;Save;;;1h 8m;;;;Intermediate;Sep 2020;;;;;LinkedIn;;;By: Dennis Taylor;
How to Build an Analytics Portfolio that Gets You Your Next Job;Course;;;Show more options for How to Build an Analytics Portfolio that Gets You Your Next Job;;;Save;;;18m;;Beginner;;;Mar 2022;;;;;LinkedIn;;By: John David Ariansen and Madecraft;;;
Top 10 Skills for Quantitative Analysts;Course;;;Show more options for Top 10 Skills for Quantitative Analysts;;;Save;;;37m;;Beginner;;;Apr 2023;;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
Practical A/B Testing;Course;;;Show more options for Practical A/B Testing;;;Save;;;47m;;Intermediate;;;May 2024;;;;;LinkedIn;;By: Oluchukwu Okpala;;;
Processing Text with Python Essential Training;Course;;;Show more options for Processing Text with Python Essential Training;;;Save;;;33m;;Intermediate;;;Jun 2019;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Intro to Tableau Prep;Course;New;;;Show more options for Intro to Tableau Prep;;;Save;;;5h 33m;;;;Beginner;4 weeks ago;;;;;LinkedIn;;;By: Maven Analytics and Dustin Cabral;
SQL for Healthcare Professionals;Course;;;Show more options for SQL for Healthcare Professionals;;;Save;;;2h 11m;;Intermediate;;;1 month ago;;;;;LinkedIn;;By: Thais Cooke;;;
Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit;Course;;;Show more options for Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit;;;Save;;;2h 22m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: George Lynch;;;
Advanced SQL for Data Scientists;Course;;;Show more options for Advanced SQL for Data Scientists;;;Save;;;2h 30m;;Advanced;;;May 2021;;;;;LinkedIn;;By: Dan Sullivan;;;
The Data Science of Experimental Design;Course;;;Show more options for The Data Science of Experimental Design;;;Save;;;3h 35m;;Intermediate;;;May 2020;;;;;LinkedIn;;By: Monika Wahi;;;
From Excel to Tableau;Course;;;Show more options for From Excel to Tableau;;;Save;;;1h 32m;;Intermediate;;;Sep 2021;;;;;LinkedIn;;By: Heather Johnson and Madecraft;;;
Power BI Challenges: 15 Skills-Building Analytics Exercises for Data Professionals;Course;;;Show more options for Power BI Challenges: 15 Skills-Building Analytics Exercises for Data Professionals;;;Save;;;2h 3m;;Intermediate;;;Nov 2023;;;;;LinkedIn;;By: Emma Saunders;;;
Lesson: Text analysis and visualization;Audio;;;Show more options for Lesson: Text analysis and visualization;;;Save;;;7m 43s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Power BI and BIM: Analysis and Visualization;Course;Popular;;;Show more options for Power BI and BIM: Analysis and Visualization;;;Save;;;2h 29m;;;;Intermediate;Nov 2020;;;;;LinkedIn;;;By: Brian Myers;
Data Analyst Mindset: 10 Nontechnical Ways to Influence Decisions;Course;;;Show more options for Data Analyst Mindset: 10 Nontechnical Ways to Influence Decisions;;;Save;;;36m;;Intermediate;;;Sep 2023;;;;;LinkedIn;;By: Mico Yuk;;;
Tableau Desktop Specialist Cert Prep;Course;New;Popular;;;Show more options for Tableau Desktop Specialist Cert Prep;;;Save;;;;;6h 35m;;Intermediate;3 weeks ago;;;;;;LinkedIn;;By: Maven Analytics and Dustin Cabral
Data Science on Google Cloud Platform: Exploratory Data Analytics;Course;;;Show more options for Data Science on Google Cloud Platform: Exploratory Data Analytics;;;Save;;;57m;;Intermediate;;;Nov 2018;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Data Science Foundations: Data Mining in R;Course;;;Show more options for Data Science Foundations: Data Mining in R;;;Save;;;3h 51m;;Intermediate;;;Feb 2021;;;;;LinkedIn;;By: Barton Poulson;;;
Power BI Weekly;Course;Updated;Popular;;;Show more options for Power BI Weekly;;;Save;;;;;13h;;Intermediate;Updated 5 days ago;;;;;;LinkedIn;;By: Helen Wall
MATLAB Essential Training;Course;Popular;;;Show more options for MATLAB Essential Training;;;Save;;;2h 33m;;;;Intermediate;Nov 2023;;;;;LinkedIn;;;By: Curt Frye;
Complete Guide to R: Wrangling, Visualizing, and Modeling Data;Course;Popular;;;Show more options for Complete Guide to R: Wrangling, Visualizing, and Modeling Data;;;Save;;;8h 15m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Barton Poulson;
CompTIA Data+ (DA0-001) Exam Tips;Course;;;Show more options for CompTIA Data+ (DA0-001) Exam Tips;;;Save;;;33m;;Intermediate;;;Jan 2022;;;;;LinkedIn;;By: Mike Chapple;;;
Data Analysis with Python and Pandas;Course;New;;;Show more options for Data Analysis with Python and Pandas;;;Save;;;13h;;;;Intermediate;1 week ago;;;;;LinkedIn;;;By: Chris Bruehl and Maven Analytics;
Microsoft Azure Data Fundamentals (DP-900) Cert Prep by Microsoft Press;Course;Popular;;;Show more options for Microsoft Azure Data Fundamentals (DP-900) Cert Prep by Microsoft Press;;;Save;;;3h 11m;;;;Beginner;1 month ago;;;;;LinkedIn;;;By: Microsoft Press and Chris Sorensen;
Excel: Financial Functions in Depth;Course;Popular;;;Show more options for Excel: Financial Functions in Depth;;;Save;;;2h 23m;;;;Intermediate;Dec 2022;;;;;LinkedIn;;;By: Danielle Stein Fairhurst;
Day in the life of a financial analyst;Audio;;;Show more options for Day in the life of a financial analyst;;;Save;;;1m 46s;;;Updated Feb 2024;;;;;LinkedIn;;;From the course: Starting Your Career as a Financial Analyst;;;;
Power BI Essential Training;Course;Popular;;;Show more options for Power BI Essential Training;;;Save;;;3h 49m;;;;Intermediate;Updated Mar 2024;;;;;LinkedIn;;;By: Gini von Courter;
Big Data Analytics with Hadoop and Apache Spark;Course;;;Show more options for Big Data Analytics with Hadoop and Apache Spark;;;Save;;;1h 1m;;Intermediate;;;Feb 2020;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Excel 2016 for the Mac: Managing and Analyzing Data;Course;;;Show more options for Excel 2016 for the Mac: Managing and Analyzing Data;;;Save;;;2h 16m;;Intermediate;;;Apr 2018;;;;;LinkedIn;;By: Dennis Taylor;;;
Excel: Mastering Pivot Table Dashboards and Reports;Course;Popular;;;Show more options for Excel: Mastering Pivot Table Dashboards and Reports;;;Save;;;1h 16m;;;;Intermediate;Jul 2023;;;;;LinkedIn;;;By: Jordan Goldmeier;
Tableau and R for Analytics Projects;Course;;;Show more options for Tableau and R for Analytics Projects;;;Save;;;2h 27m;;Intermediate;;;Nov 2019;;;;;LinkedIn;;By: Curt Frye;;;
