0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Python for Data Science and Machine Learning Essential Training Part 1;Course;Popular;;;Show more options for Python for Data Science and Machine Learning Essential Training Part 1;;;Save;;;7h 44m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Lillian Pierson, P.E.;
Machine Learning & AI Foundations: Linear Regression;Course;Popular;;;"Show more options for Machine Learning &amp;amp; AI Foundations: Linear Regression";;;Save;;;4h 5m;;;;Intermediate;Updated Jul 2023;;;;;LinkedIn;;;By: Keith McCormick;
Advance Your Skills as a Machine Learning Specialist;Learning Path;;;Show more options for Advance Your Skills as a Machine Learning Specialist;;;Save;;;14h;;;Updated May 2024;;;;;LinkedIn;;;;;;;
Hands-On PyTorch Machine Learning;Course;;;Show more options for Hands-On PyTorch Machine Learning;;;Save;;;56m;;Intermediate;;;Dec 2022;;;;;LinkedIn;;By: Helen Sun;;;
Advance Your Skills in AI and Machine Learning;Learning Path;;;Show more options for Advance Your Skills in AI and Machine Learning;;;Save;;;21h;;;Updated Feb 2024;;;;;LinkedIn;;;;;;;
Applied Machine Learning: Feature Engineering;Course;Popular;;;Show more options for Applied Machine Learning: Feature Engineering;;;Save;;;1h 41m;;;;Intermediate;Apr 2024;;;;;LinkedIn;;;By: Matt Harrison;
Google Cloud Platform for Machine Learning Essential Training;Course;;;Show more options for Google Cloud Platform for Machine Learning Essential Training;;;Save;;;1h 35m;;Beginner;;;Feb 2024;;;;;LinkedIn;;By: Lynn Langit;;;
Advanced QGIS Analysis with AI and Machine Learning;Course;Popular;;;Show more options for Advanced QGIS Analysis with AI and Machine Learning;;;Save;;;2h 22m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Gordon Luckett;
Learning Codeless Machine Learning with KNIME;Learning Path;;;Show more options for Learning Codeless Machine Learning with KNIME;;;Save;;;11h;;;Updated Jul 2023;;;;;LinkedIn;;;;;;;
Prepare for the Google Cloud Professional Machine Learning Engineer Certification;Learning Path;;;Show more options for Prepare for the Google Cloud Professional Machine Learning Engineer Certification;;;Save;;;7h 7m;;;Updated Aug 2023;;;;;LinkedIn;;;;;;;
Machine learning engineering in a nutshell;Audio;;;Show more options for Machine learning engineering in a nutshell;;;Save;;;1m 6s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Machine Learning in Mobile Applications;Course;;;Show more options for Machine Learning in Mobile Applications;;;Save;;;4h 17m;;Beginner;;;2 months ago;;;;;LinkedIn;;By: Kevin Ford;;;
Python for Data Science and Machine Learning Essential Training Part 2;Course;Popular;;;Show more options for Python for Data Science and Machine Learning Essential Training Part 2;;;Save;;;5h 16m;;;;Intermediate;2 months ago;;;;;LinkedIn;;;By: Lillian Pierson, P.E.;
Transitioning into Machine Learning Engineering;Course;;;Show more options for Transitioning into Machine Learning Engineering;;;Save;;;28m;;Intermediate;;;Sep 2022;;;;;LinkedIn;;By: Khaulat Abdulhakeem;;;
Azure Machine Learning Development: Part 1;Course;;;Show more options for Azure Machine Learning Development: Part 1;;;Save;;;1h 8m;;Intermediate;;;Aug 2022;;;;;LinkedIn;;By: Zarina Meeran;;;
Machine Learning with Python: Logistic Regression;Course;;;Show more options for Machine Learning with Python: Logistic Regression;;;Save;;;1h 19m;;Intermediate;;;Updated Apr 2024;;;;;LinkedIn;;By: Frederick Nwanganga;;;
Amazon Web Services Machine Learning Essential Training;Course;;;Show more options for Amazon Web Services Machine Learning Essential Training;;;Save;;;3h 7m;;Intermediate;;;Apr 2018;;;;;LinkedIn;;By: Lynn Langit;;;
NLP with Python for Machine Learning Essential Training;Course;;;Show more options for NLP with Python for Machine Learning Essential Training;;;Save;;;4h 14m;;Intermediate;;;Mar 2018;;;;;LinkedIn;;By: Derek Jedamski;;;
Power BI: Integrating AI and Machine Learning;Course;Popular;;;Show more options for Power BI: Integrating AI and Machine Learning;;;Save;;;3h 58m;;;;Intermediate;Aug 2021;;;;;LinkedIn;;;By: Helen Wall;
Machine Learning and AI Foundations: Recommendations;Course;;;Show more options for Machine Learning and AI Foundations: Recommendations;;;Save;;;58m;;Intermediate;;;Apr 2017;;;;;LinkedIn;;By: Adam Geitgey;;;
Build systems around machine learning algorithms;Audio;;;Show more options for Build systems around machine learning algorithms;;;Save;;;1m 8s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Supervised Learning Essential Training;Course;;;Show more options for Supervised Learning Essential Training;;;Save;;;1h 28m;;Intermediate;;;Jan 2021;;;;;LinkedIn;;By: Ayodele Odubela;;;
Hands-On Data Annotation: Applied Machine Learning;Course;;;Show more options for Hands-On Data Annotation: Applied Machine Learning;;;Save;;;3h 51m;;Beginner;;;Dec 2023;;;;;LinkedIn;;By: Wuraola Oyewusi;;;
Machine Learning and AI Foundations: Causal Inference and Modeling;Course;;;Show more options for Machine Learning and AI Foundations: Causal Inference and Modeling;;;Save;;;2h 51m;;Advanced;;;Jul 2022;;;;;LinkedIn;;By: Keith McCormick;;;
Machine Learning with Python: Association Rules;Course;;;Show more options for Machine Learning with Python: Association Rules;;;Save;;;1h 27m;;Intermediate;;;Updated Apr 2024;;;;;LinkedIn;;By: Frederick Nwanganga;;;
Applied Machine Learning: Ensemble Learning;Course;Popular;;;Show more options for Applied Machine Learning: Ensemble Learning;;;Save;;;2h 25m;;;;Intermediate;Feb 2022;;;;;LinkedIn;;;By: Derek Jedamski;
Spark for Machine Learning & AI;Course;;;"Show more options for Spark for Machine Learning &amp;amp; AI";;;Save;;;1h 51m;;Beginner;;;Nov 2017;;;;;LinkedIn;;By: Dan Sullivan;;;
Building a Recommendation System with Python Machine Learning and AI;Course;;;Show more options for Building a Recommendation System with Python Machine Learning and AI;;;Save;;;1h 39m;;Intermediate;;;2 months ago;;;;;LinkedIn;;By: Lillian Pierson, P.E.;;;
Advance Your Skills in Natural Language Processing;Learning Path;;;Show more options for Advance Your Skills in Natural Language Processing;;;Save;;;7h 20m;;;Updated 5 days ago;;;;;LinkedIn;;;;;;;
Machine Learning and AI Foundations: Classification Modeling;Course;Popular;;;Show more options for Machine Learning and AI Foundations: Classification Modeling;;;Save;;;2h 5m;;;;Intermediate;Updated Jan 2024;;;;;LinkedIn;;;By: Keith McCormick;
Deep Learning: Getting Started;Course;Popular;;;Show more options for Deep Learning: Getting Started;;;Save;;;1h 13m;;;;Intermediate;Updated Jan 2024;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Introduction to Deep Learning with OpenCV;Course;;;Show more options for Introduction to Deep Learning with OpenCV;;;Save;;;49m;;Beginner + Intermediate;;;Jun 2019;;;;;LinkedIn;;By: Jonathan Fernandes;;;
Mistakes to Avoid in Machine Learning;Course;;;Show more options for Mistakes to Avoid in Machine Learning;;;Save;;;39m;;Intermediate;;;Sep 2020;;;;;LinkedIn;;By: Brett Vanderblock and Madecraft;;;
Design machine learning systems and applications;Audio;;;Show more options for Design machine learning systems and applications;;;Save;;;1m 24s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Artificial Intelligence Foundations: Thinking Machines;Course;Popular;;;Show more options for Artificial Intelligence Foundations: Thinking Machines;;;Save;;;1h 36m;;;;Beginner;Updated Oct 2023;;;;;LinkedIn;;;By: Doug Rose;
Improve Your Programming Skills with Artificial Intelligence;Learning Path;;;Show more options for Improve Your Programming Skills with Artificial Intelligence;;;Save;;;5h 55m;;;Updated 1 month ago;;;;;LinkedIn;;;;;;;
Train machine learning models;Audio;;;Show more options for Train machine learning models;;;Save;;;1m;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Deploy machine learning solutions into production;Audio;;;Show more options for Deploy machine learning solutions into production;;;Save;;;1m 14s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Machine Learning and AI Foundations: Producing Explainable AI (XAI) and Interpretable Machine Learning Solutions;Course;;;Show more options for Machine Learning and AI Foundations: Producing Explainable AI (XAI) and Interpretable Machine Learning Solutions;;;Save;;;2h 9m;;Intermediate;;;Feb 2022;;;;;LinkedIn;;By: Keith McCormick;;;
Self-Supervised Machine Learning;Course;;;Show more options for Self-Supervised Machine Learning;;;Save;;;2h 17m;;Advanced;;;Oct 2022;;;;;LinkedIn;;By: Janani Ravi;;;
AI Show: Federated Learning with Azure Machine Learning;Course;;;Show more options for AI Show: Federated Learning with Azure Machine Learning;;;Save;;;25m;;Intermediate;;;May 2023;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
Advanced Machine Learning .NET Applications;Course;;;Show more options for Advanced Machine Learning .NET Applications;;;Save;;;40m;;Advanced;;;Nov 2023;;;;;LinkedIn;;By: Sam Nasr;;;
Machine Learning Foundations: Linear Algebra;Course;Popular;;;Show more options for Machine Learning Foundations: Linear Algebra;;;Save;;;1h 20m;;;;Intermediate;Aug 2022;;;;;LinkedIn;;;By: Terezija Semenski;
Machine Learning and AI Foundations: Value Estimations;Course;;;Show more options for Machine Learning and AI Foundations: Value Estimations;;;Save;;;1h 4m;;Beginner + Intermediate;;;Mar 2017;;;;;LinkedIn;;By: Adam Geitgey;;;
Machine Learning for iOS: Core ML and Create ML;Course;;;Show more options for Machine Learning for iOS: Core ML and Create ML;;;Save;;;38m;;Advanced;;;Feb 2020;;;;;LinkedIn;;By: Emmanuel Henri;;;
Leveraging Cloud-Based Machine Learning on Google Cloud Platform: Real World Applications;Course;;;Show more options for Leveraging Cloud-Based Machine Learning on Google Cloud Platform: Real World Applications;;;Save;;;1h 19m;;Intermediate;;;Feb 2020;;;;;LinkedIn;;By: David Linthicum;;;
Reinforcement Learning Foundations;Course;;;Show more options for Reinforcement Learning Foundations;;;Save;;;44m;;Beginner + Intermediate;;;Updated Jan 2024;;;;;LinkedIn;;By: Khaulat Abdulhakeem;;;
AI Show: Medical Imaging with Azure Machine Learning;Course;;;Show more options for AI Show: Medical Imaging with Azure Machine Learning;;;Save;;;22m;;Intermediate;;;Mar 2023;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
Azure Machine Learning Development: Part 2;Course;;;Show more options for Azure Machine Learning Development: Part 2;;;Save;;;1h 1m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: Zarina Meeran;;;
Machine Learning and AI Foundations: Clustering and Association;Course;Popular;;;Show more options for Machine Learning and AI Foundations: Clustering and Association;;;Save;;;3h 33m;;;;Intermediate;Updated Jan 2024;;;;;LinkedIn;;;By: Keith McCormick;
Masterpath in Analytics Leadership for Executives;Learning Path;;;Show more options for Masterpath in Analytics Leadership for Executives;;;Save;;;8h 31m;;;Updated 4 months ago;;;;;LinkedIn;;;;;;;
Machine Learning Foundations: Prototyping on the Edge;Course;;;Show more options for Machine Learning Foundations: Prototyping on the Edge;;;Save;;;1h 21m;;Beginner;;;May 2023;;;;;LinkedIn;;By: Robert Gallup;;;
Azure AI Fundamentals (AI-900) Cert Prep: 2 Principles of Machine Learning on Azure;Course;;;Show more options for Azure AI Fundamentals (AI-900) Cert Prep: 2 Principles of Machine Learning on Azure;;;Save;;;1h 5m;;Beginner;;;Jul 2022;;;;;LinkedIn;;By: Emilio Melo;;;
Deploying Scalable Machine Learning for Data Science;Course;;;Show more options for Deploying Scalable Machine Learning for Data Science;;;Save;;;1h 43m;;Intermediate;;;Aug 2018;;;;;LinkedIn;;By: Dan Sullivan;;;
Learning JAX;Course;;;Show more options for Learning JAX;;;Save;;;2h 23m;;Advanced;;;Oct 2022;;;;;LinkedIn;;By: Janani Ravi;;;
Top 10 Skills for Machine Learning Professionals;Course;;;Show more options for Top 10 Skills for Machine Learning Professionals;;;Save;;;21m;;Beginner;;;Sep 2022;;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
SQL Server Machine Learning Services: Python;Course;;;Show more options for SQL Server Machine Learning Services: Python;;;Save;;;2h 31m;;Advanced;;;Updated Dec 2023;;;;;LinkedIn;;By: Adam Wilbert;;;
Google Cloud Professional Machine Learning Engineer Cert Prep: 1 Framing ML Problems;Course;;;Show more options for Google Cloud Professional Machine Learning Engineer Cert Prep: 1 Framing ML Problems;;;Save;;;1h 7m;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Noah Gift;;;
What is a day in your life as a software engineer like?;Audio;;;Show more options for What is a day in your life as a software engineer like?;;;Save;;;1m 56s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
LinkedIn's AI Academy;Learning Path;;;"Show more options for LinkedIn&amp;#39;s AI Academy";;;Save;;;3h 54m;;;May 2023;;;;;LinkedIn;;;;;;;
Machine Learning and AI Foundations: Prediction, Causation, and Statistical Inference;Course;;;Show more options for Machine Learning and AI Foundations: Prediction, Causation, and Statistical Inference;;;Save;;;2h 2m;;Intermediate;;;Mar 2022;;;;;LinkedIn;;By: Keith McCormick;;;
Introduction to Machine Learning with KNIME;Course;;;Show more options for Introduction to Machine Learning with KNIME;;;Save;;;1h 59m;;Beginner + Intermediate;;;Updated Jul 2023;;;;;LinkedIn;;By: Keith McCormick;;;
Resources to get you started in ML engineering;Audio;;;Show more options for Resources to get you started in ML engineering;;;Save;;;1m 25s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Machine Learning with ML.NET;Course;;;Show more options for Machine Learning with ML.NET;;;Save;;;1h 6m;;Intermediate;;;Jan 2021;;;;;LinkedIn;;By: Microsoft .NET and Pranav Rastogi;;;
Text Analytics and Predictions with Python Essential Training;Course;;;Show more options for Text Analytics and Predictions with Python Essential Training;;;Save;;;35m;;Intermediate;;;Jun 2019;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Implement machine learning algorithms;Audio;;;Show more options for Implement machine learning algorithms;;;Save;;;1m 27s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
What skills do you look for in machine learning engineers?;Audio;;;Show more options for What skills do you look for in machine learning engineers?;;;Save;;;2m 1s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Learning TinyML: A Hands-On Course;Course;;;Show more options for Learning TinyML: A Hands-On Course;;;Save;;;1h 10m;;Intermediate;;;Jul 2022;;;;;LinkedIn;;By: Archana Vaidheeswaran;;;
Built-in Machine Learning in the Wolfram Language;Course;;;Show more options for Built-in Machine Learning in the Wolfram Language;;;Save;;;19m;;Beginner;;;Jan 2024;;;;;LinkedIn;;By: Wolfram Research;;;
Develop Your AI Skills with Google Gemini and Google Cloud Platform;Learning Path;;;Show more options for Develop Your AI Skills with Google Gemini and Google Cloud Platform;;;Save;;;8h 9m;;;Updated 2 weeks ago;;;;;LinkedIn;;;;;;;
How much data science knowledge should ML engineers have?;Audio;;;Show more options for How much data science knowledge should ML engineers have?;;;Save;;;50s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Advanced Python in Excel: Machine Learning;Course;New;Popular;;;Show more options for Advanced Python in Excel: Machine Learning;;;Save;;;;;36m;;Advanced;3 weeks ago;;;;;;LinkedIn;;By: Christian Martinez
Google Cloud Professional Machine Learning Engineer Cert Prep: 5 Automating and Orchestrating ML Pipelines;Course;;;Show more options for Google Cloud Professional Machine Learning Engineer Cert Prep: 5 Automating and Orchestrating ML Pipelines;;;Save;;;51m;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Noah Gift;;;
Machine Learning with Python: Decision Trees;Course;Popular;;;Show more options for Machine Learning with Python: Decision Trees;;;Save;;;1h 14m;;;;Intermediate;Updated Apr 2024;;;;;LinkedIn;;;By: Frederick Nwanganga;
AI Show: Using R in Azure Machine Learning;Course;;;Show more options for AI Show: Using R in Azure Machine Learning;;;Save;;;33m;;Intermediate;;;Jul 2023;;;;;LinkedIn;;By: Microsoft Learn;;;
Leveraging Cloud-Based Machine Learning on Azure: Real-World Applications;Course;;;Show more options for Leveraging Cloud-Based Machine Learning on Azure: Real-World Applications;;;Save;;;1h 31m;;Intermediate;;;Dec 2019;;;;;LinkedIn;;By: David Linthicum;;;
Machine Learning with Logistic Regression in Excel, R, and Power BI;Course;;;Show more options for Machine Learning with Logistic Regression in Excel, R, and Power BI;;;Save;;;2h 49m;;Intermediate;;;Nov 2021;;;;;LinkedIn;;By: Helen Wall;;;
LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;Course;;;Show more options for LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;;;Save;;;1h 9m;;Intermediate;;;May 2023;;;;;LinkedIn;;By: Daniel Hewlett and Ananth Sankar;;;
What tools and software do you use frequently?;Audio;;;Show more options for What tools and software do you use frequently?;;;Save;;;1m 39s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Google Cloud Professional Machine Learning Engineer Cert Prep: 4 Developing ML Models;Course;;;Show more options for Google Cloud Professional Machine Learning Engineer Cert Prep: 4 Developing ML Models;;;Save;;;1h 29m;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Noah Gift;;;
AWS DeepRacer: Building a Reinforcement Learning Model;Course;;;Show more options for AWS DeepRacer: Building a Reinforcement Learning Model;;;Save;;;40m;;Intermediate;;;Sep 2022;;;;;LinkedIn;;By: Michael Smith;;;
Top 10 Skills for Machine Learning Cloud Architects;Course;;;Show more options for Top 10 Skills for Machine Learning Cloud Architects;;;Save;;;32m;;Beginner;;;Aug 2023;;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
Deep Learning: Model Optimization and Tuning;Course;Popular;;;Show more options for Deep Learning: Model Optimization and Tuning;;;Save;;;54m;;;;Advanced;Feb 2022;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Advanced AI: NLP Techniques for Clinical Datasets;Course;;;Show more options for Advanced AI: NLP Techniques for Clinical Datasets;;;Save;;;43m;;Advanced;;;Nov 2022;;;;;LinkedIn;;By: Wuraola Oyewusi;;;
NumPy Essential Training: 1 Foundations of NumPy;Course;;;Show more options for NumPy Essential Training: 1 Foundations of NumPy;;;Save;;;1h 26m;;Intermediate;;;Updated Oct 2023;;;;;LinkedIn;;By: Terezija Semenski;;;
Synthetic Data: Advanced Concepts and Applications;Course;;;Show more options for Synthetic Data: Advanced Concepts and Applications;;;Save;;;38m;;Advanced;;;Jan 2024;;;;;LinkedIn;;By: Madecraft and Michael Galarnyk;;;
Recommendation Systems: A Practical Introduction;Course;;;Show more options for Recommendation Systems: A Practical Introduction;;;Save;;;1h 18m;;Advanced;;;Jan 2024;;;;;LinkedIn;;By: Miguel González-Fierro;;;
Machine Learning with Data Reduction in Excel, R, and Power BI;Course;;;Show more options for Machine Learning with Data Reduction in Excel, R, and Power BI;;;Save;;;3h 32m;;Intermediate;;;Feb 2022;;;;;LinkedIn;;By: Helen Wall;;;
Prepare for the AWS Certified Machine Learning - Specialty (MLS-C01) Exam;Learning Path;;;Show more options for Prepare for the AWS Certified Machine Learning - Specialty (MLS-C01) Exam;;;Save;;;2h 45m;;;Updated Mar 2023;;;;;LinkedIn;;;;;;;
Deep Learning with Python and Keras: Build a Model For Sentiment Analysis;Course;;;Show more options for Deep Learning with Python and Keras: Build a Model For Sentiment Analysis;;;Save;;;1h 55m;;Advanced;;;Feb 2024;;;;;LinkedIn;;By: Janani Ravi;;;
Transfer Learning for Images Using PyTorch: Essential Training;Course;;;Show more options for Transfer Learning for Images Using PyTorch: Essential Training;;;Save;;;58m;;Intermediate;;;Oct 2019;;;;;LinkedIn;;By: Jonathan Fernandes;;;
Applied AI: Building NLP Apps with Hugging Face Transformers;Course;Popular;;;Show more options for Applied AI: Building NLP Apps with Hugging Face Transformers;;;Save;;;57m;;;;Intermediate;Feb 2023;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Machine Learning for iOS Developers;Course;;;Show more options for Machine Learning for iOS Developers;;;Save;;;1h 25m;;Advanced;;;Apr 2018;;;;;LinkedIn;;By: Brian Advent;;;
Google Cloud Professional Machine Learning Engineer Cert Prep: 6 Monitoring, Optimizing, and Maintaining ML Solutions;Course;;;Show more options for Google Cloud Professional Machine Learning Engineer Cert Prep: 6 Monitoring, Optimizing, and Maintaining ML Solutions;;;Save;;;1h 10m;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Noah Gift;;;
Azure AI Fundamentals (AI-900) Cert Prep: 4 Natural Language Processing (NLP) Workloads on Azure;Course;;;Show more options for Azure AI Fundamentals (AI-900) Cert Prep: 4 Natural Language Processing (NLP) Workloads on Azure;;;Save;;;2h;;Beginner;;;Mar 2023;;;;;LinkedIn;;By: Eva Pardi;;;
Learning H20.ai;Course;;;Show more options for Learning H20.ai;;;Save;;;1h 42m;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Janani Ravi;;;
AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 1 Data Engineering;Course;;;Show more options for AWS Certified Machine Learning - Specialty (MLS-C01) Cert Prep: 1 Data Engineering;;;Save;;;1h 29m;;Intermediate;;;Feb 2023;;;;;LinkedIn;;By: Noah Gift;;;
Google Cloud Professional Machine Learning Engineer Cert Prep: 3 Designing Data Preparation and Processing Systems;Course;;;Show more options for Google Cloud Professional Machine Learning Engineer Cert Prep: 3 Designing Data Preparation and Processing Systems;;;Save;;;1h;;Advanced;;;Jun 2023;;;;;LinkedIn;;By: Noah Gift;;;
AWS Machine Learning: Building an Expense Tracker Using Amazon Textract;Course;;;Show more options for AWS Machine Learning: Building an Expense Tracker Using Amazon Textract;;;Save;;;24m;;Intermediate;;;Feb 2021;;;;;LinkedIn;;By: Carlos Rivas;;;
AI Show: Building NLP models with Azure ML AutoML;Course;;;Show more options for AI Show: Building NLP models with Azure ML AutoML;;;Save;;;13m;;Intermediate;;;Mar 2023;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
SQL Server Machine Learning Services: R;Course;Updated;;;Show more options for SQL Server Machine Learning Services: R;;;Save;;;2h 20m;;;;Advanced;Updated 1 month ago;;;;;LinkedIn;;;By: Adam Wilbert;
Applied AI: Getting Started with Hugging Face Transformers;Course;Popular;;;Show more options for Applied AI: Getting Started with Hugging Face Transformers;;;Save;;;1h 16m;;;;Intermediate;Feb 2023;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Career advice from a tech career coach;Audio;;;Show more options for Career advice from a tech career coach;;;Save;;;1m 43s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Top 10 Skills for NLP Specialists;Course;;;Show more options for Top 10 Skills for NLP Specialists;;;Save;;;26m;;Beginner;;;Apr 2023;;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
Azure AI Engineer Associate (AI-102) Cert Prep: Exam Tips;Course;;;Show more options for Azure AI Engineer Associate (AI-102) Cert Prep: Exam Tips;;;Save;;;2h 48m;;Beginner;;;1 month ago;;;;;LinkedIn;;By: Jose Latorre;;;
Azure AI Engineer Associate (AI-102) Cert Prep: Implement Natural Language Processing Solutions;Course;;;Show more options for Azure AI Engineer Associate (AI-102) Cert Prep: Implement Natural Language Processing Solutions;;;Save;;;3h 57m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Gerry O'Brien;;;
Data Labeling for Machine Learning;Course;;;Show more options for Data Labeling for Machine Learning;;;Save;;;1h 54m;;Intermediate;;;Oct 2023;;;;;LinkedIn;;By: Janani Ravi;;;
