0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Picking the Right Chart for Your Data;Course;Popular;;;Show more options for Picking the Right Chart for Your Data;;;Save;;;1h 21m;;;;Beginner;Updated Apr 2024;;;;;LinkedIn;;;By: Bill Shander;
Lesson: Data illustration;Audio;;;Show more options for Lesson: Data illustration;;;Save;;;3m 28s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Concept visualization;Audio;;;Show more options for Lesson: Concept visualization;;;Save;;;5m 35s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Python in Excel: Data Outputs in Custom Data Visualizations and Algorithms;Course;;;Show more options for Python in Excel: Data Outputs in Custom Data Visualizations and Algorithms;;;Save;;;2h 2m;;Advanced;;;3 months ago;;;;;LinkedIn;;By: Helen Wall;;;
Data Visualization in Python with Dash;Course;;;Show more options for Data Visualization in Python with Dash;;;Save;;;58m;;Intermediate;;;Jan 2022;;;;;LinkedIn;;By: Robin Andrews;;;
Lesson: Visualizing large data sets;Audio;;;Show more options for Lesson: Visualizing large data sets;;;Save;;;5m 51s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Tableau for Data Scientists;Course;Popular;;;Show more options for Tableau for Data Scientists;;;Save;;;5h 55m;;;;Intermediate;Sep 2021;;;;;LinkedIn;;;By: Matt Francis;
Data Storytelling Basics;Course;Popular;;;Show more options for Data Storytelling Basics;;;Save;;;1h 6m;;;;General;May 2022;;;;;LinkedIn;;;By: Free the Data Podcast and Ben Sullins;
Lesson: Data art;Audio;;;Show more options for Lesson: Data art;;;Save;;;3m 41s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Hands-On Data Science using SQL, Tableau, Python, and Spark;Course;Popular;;;Show more options for Hands-On Data Science using SQL, Tableau, Python, and Spark;;;Save;;;1h 13m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Ben Sullins and Free the Data Academy;
Storytelling for Designers;Course;;;Show more options for Storytelling for Designers;;;Save;;;58m;;Beginner;;;Sep 2014;;;;;LinkedIn;;By: Stacey Williams-Ng;;;
Data Visualization with Canva and Flourish;Course;;;Show more options for Data Visualization with Canva and Flourish;;;Save;;;30m;;Beginner + Intermediate;;;Feb 2023;;;;;LinkedIn;;By: Lachezar Arabadzhiev;;;
Visual Communication for Business: The Marketer's Secret Weapon;Course;;;"Show more options for Visual Communication for Business: The Marketer&amp;#39;s Secret Weapon";;;Save;;;49m;;General;;;Jun 2018;;;;;LinkedIn;;By: Amy Balliett;;;
Lesson: Beauty in data vizualization;Audio;;;Show more options for Lesson: Beauty in data vizualization;;;Save;;;3m 29s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Data Storytelling Mistakes to Avoid;Course;;;Show more options for Data Storytelling Mistakes to Avoid;;;Save;;;26m;;General;;;3 months ago;;;;;LinkedIn;;By: Madecraft and Rebeca Pop;;;
Lesson: Historical visualizations;Audio;;;Show more options for Lesson: Historical visualizations;;;Save;;;4m 16s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Truth in data storytelling and visualization;Audio;;;Show more options for Lesson: Truth in data storytelling and visualization;;;Save;;;7m 7s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Visualization for a cause;Audio;;;Show more options for Lesson: Visualization for a cause;;;Save;;;5m 38s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Excel and PowerPoint: Creating High-Impact Financial Presentations;Course;;;Show more options for Excel and PowerPoint: Creating High-Impact Financial Presentations;;;Save;;;2h 6m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Danielle Stein Fairhurst;;;
How to measure efficacy in data visualization;Audio;;;Show more options for How to measure efficacy in data visualization;;;Save;;;1m 51s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Lesson: Text analysis and visualization;Audio;;;Show more options for Lesson: Text analysis and visualization;;;Save;;;7m 43s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Science visualizations;Audio;;;Show more options for Lesson: Science visualizations;;;Save;;;3m 38s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Visual perception;Audio;;;Show more options for Lesson: Visual perception;;;Save;;;3m 37s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Data analytics;Audio;;;Show more options for Lesson: Data analytics;;;Save;;;3m 37s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Python in Excel for Financial Professionals;Course;;;Show more options for Python in Excel for Financial Professionals;;;Save;;;48m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Christian Martinez;;;
Introduction to Tableau Pulse;Course;;;Show more options for Introduction to Tableau Pulse;;;Save;;;36m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Tim Ngwena;;;
Lesson: Making decisions with data visualization;Audio;;;Show more options for Lesson: Making decisions with data visualization;;;Save;;;5m 39s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Becoming an information designer;Audio;;;Show more options for Lesson: Becoming an information designer;;;Save;;;4m 35s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Tableau 2024.1: Essential Training;Course;Popular;;;Show more options for Tableau 2024.1: Essential Training;;;Save;;;4h 41m;;;;Intermediate;4 months ago;;;;;LinkedIn;;;By: Curt Frye;
Creating Reports and Presentations with R Markdown and RStudio;Course;;;Show more options for Creating Reports and Presentations with R Markdown and RStudio;;;Save;;;2h 40m;;Intermediate;;;Mar 2019;;;;;LinkedIn;;By: Charlie Joey Hadley;;;
Tips for consuming data visualizations;Audio;;;Show more options for Tips for consuming data visualizations;;;Save;;;4m 24s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Lesson: A data viz-first approach;Audio;;;Show more options for Lesson: A data viz-first approach;;;Save;;;3m 5s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Data Literacy;Audio;;;Show more options for Lesson: Data Literacy;;;Save;;;3m 28s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Master the Concepts of Data Visualization and Storytelling;Learning Path;;;Show more options for Master the Concepts of Data Visualization and Storytelling;;;Save;;;13h;;;Updated Apr 2024;;;;;LinkedIn;;;;;;;
Advanced Visio Desktop: Working with Data;Course;Updated;;;Show more options for Advanced Visio Desktop: Working with Data;;;Save;;;2h 45m;;;;Intermediate;Updated 2 months ago;;;;;LinkedIn;;;By: Scott Helmers;
Learning Data Science: Tell Stories With Data;Course;;;Show more options for Learning Data Science: Tell Stories With Data;;;Save;;;1h 17m;;General;;;Feb 2017;;;;;LinkedIn;;By: Doug Rose;;;
Data Analytics with Google Cloud BigQuery and Looker Studio;Course;;;Show more options for Data Analytics with Google Cloud BigQuery and Looker Studio;;;Save;;;1h 5m;;Intermediate;;;May 2023;;;;;LinkedIn;;By: Yoyu Li;;;
Lesson: Visualization in the real world;Audio;;;Show more options for Lesson: Visualization in the real world;;;Save;;;7m 39s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Using Tableau to Discover Powerful Business Insights;Course;;;Show more options for Using Tableau to Discover Powerful Business Insights;;;Save;;;1h 58m;;Intermediate;;;Mar 2022;;;;;LinkedIn;;By: John David Ariansen and Madecraft;;;
Moving from Data Scientist to Data Analyst;Learning Path;;;Show more options for Moving from Data Scientist to Data Analyst;;;Save;;;21h;;;Updated 3 months ago;;;;;LinkedIn;;;;;;;
Lesson: Data journalism;Audio;;;Show more options for Lesson: Data journalism;;;Save;;;3m 13s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Data Science Foundations: Knowledge Graphs;Course;;;Show more options for Data Science Foundations: Knowledge Graphs;;;Save;;;31m;;Beginner + Intermediate;;;Jul 2021;;;;;LinkedIn;;By: Daniel Burgwinkel;;;
Lesson: Data sonification;Audio;;;Show more options for Lesson: Data sonification;;;Save;;;3m 54s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Qlik Sense Essential Training;Course;;;Show more options for Qlik Sense Essential Training;;;Save;;;2h 47m;;Beginner + Intermediate;;;Jan 2019;;;;;LinkedIn;;By: Curt Frye;;;
How Cole started storytelling with data;Audio;;;Show more options for How Cole started storytelling with data;;;Save;;;2m 24s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Lesson: Finding inspiration;Audio;;;Show more options for Lesson: Finding inspiration;;;Save;;;2m 57s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Functional aesthetics for visualization;Audio;;;Show more options for Lesson: Functional aesthetics for visualization;;;Save;;;3m 13s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Sales: Analytics-Driven Storytelling;Course;;;Show more options for Sales: Analytics-Driven Storytelling;;;Save;;;48m;;Advanced;;;Apr 2022;;;;;LinkedIn;;By: Mark Donnolo;;;
Listen: Francis Gagnon on concept visualization;Audio;;;Show more options for Listen: Francis Gagnon on concept visualization;;;Save;;;22m;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Complete Guide to Tableau for Data Scientists;Course;New;Popular;;;Show more options for Complete Guide to Tableau for Data Scientists;;;Save;;;;;10h;;Intermediate;1 week ago;;;;;;LinkedIn;;By: Matt Francis
Looker Studio for Marketers;Course;;;Show more options for Looker Studio for Marketers;;;Save;;;1h 16m;;Beginner;;;Apr 2023;;;;;LinkedIn;;By: Samantha Barnes;;;
Tableau Certified Data Analyst Cert Prep;Course;Popular;;;Show more options for Tableau Certified Data Analyst Cert Prep;;;Save;;;6h 34m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Heidi Kalbe;
Lesson: Idea generation and refinement;Audio;;;Show more options for Lesson: Idea generation and refinement;;;Save;;;2m 46s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Defining a good graph;Audio;;;Show more options for Defining a good graph;;;Save;;;58s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Using natural human behavior to your advantage;Audio;;;Show more options for Using natural human behavior to your advantage;;;Save;;;2m 33s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Infographic Design Theory: How the Market and Science Impact Success;Course;Popular;;;Show more options for Infographic Design Theory: How the Market and Science Impact Success;;;Save;;;1h 33m;;;;Beginner;Aug 2023;;;;;LinkedIn;;;By: Amy Balliett;
Lesson: Tools of the Future;Audio;;;Show more options for Lesson: Tools of the Future;;;Save;;;3m 32s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Color;Audio;;;Show more options for Lesson: Color;;;Save;;;3m 37s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Creative and unique visualizations;Audio;;;Show more options for Lesson: Creative and unique visualizations;;;Save;;;9m 2s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Interesting datasets;Audio;;;Show more options for Lesson: Interesting datasets;;;Save;;;2m 55s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Lost information design;Audio;;;Show more options for Lesson: Lost information design;;;Save;;;3m 11s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
R: Interactive Visualizations with htmlwidgets;Course;;;Show more options for R: Interactive Visualizations with htmlwidgets;;;Save;;;5h 25m;;Intermediate;;;Oct 2017;;;;;LinkedIn;;By: Charlie Joey Hadley;;;
Lesson: Daily practice;Audio;;;Show more options for Lesson: Daily practice;;;Save;;;3m 13s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
CompTIA Data+ (DA0-001) Cert Prep: 4 Visualization;Course;;;Show more options for CompTIA Data+ (DA0-001) Cert Prep: 4 Visualization;;;Save;;;46m;;Intermediate;;;Jan 2022;;;;;LinkedIn;;By: Mike Chapple;;;
Who makes a good storyteller;Audio;;;Show more options for Who makes a good storyteller;;;Save;;;5m 31s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Build Advanced Charts in R;Course;;;Show more options for Build Advanced Charts in R;;;Save;;;1h 43m;;Advanced;;;Aug 2023;;;;;LinkedIn;;By: Rita Giordano;;;
Lesson: Complex visualizations;Audio;;;Show more options for Lesson: Complex visualizations;;;Save;;;3m 45s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Engagement;Audio;;;Show more options for Lesson: Engagement;;;Save;;;4m 43s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Creating Interactive Presentations with Shiny and R;Course;;;Show more options for Creating Interactive Presentations with Shiny and R;;;Save;;;1h 53m;;Intermediate;;;Apr 2016;;;;;LinkedIn;;By: Charlie Joey Hadley;;;
Lesson: Process;Audio;;;Show more options for Lesson: Process;;;Save;;;3m 1s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Data Visualization in R with ggplot2;Course;;;Show more options for Data Visualization in R with ggplot2;;;Save;;;2h 27m;;Intermediate;;;Apr 2018;;;;;LinkedIn;;By: Mike Chapple;;;
What's next for storytelling with data?;Audio;;;"Show more options for What&amp;#39;s next for storytelling with data?";;;Save;;;3m 53s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Lesson: Data storytelling for regular folks;Audio;;;Show more options for Lesson: Data storytelling for regular folks;;;Save;;;11m;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Accessibility;Audio;;;Show more options for Lesson: Accessibility;;;Save;;;4m 47s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit;Course;;;Show more options for Tableau Beyond the Basics: Growing Your Analytics and Business Intelligence Toolkit;;;Save;;;2h 22m;;Intermediate;;;Nov 2022;;;;;LinkedIn;;By: George Lynch;;;
What storytelling can do for your career;Audio;;;Show more options for What storytelling can do for your career;;;Save;;;2m 14s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Exploratory versus explanatory;Audio;;;Show more options for Exploratory versus explanatory;;;Save;;;3m 12s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Lesson: Maps;Audio;;;Show more options for Lesson: Maps;;;Save;;;4m 51s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Choosing the right chart type;Audio;;;Show more options for Choosing the right chart type;;;Save;;;10m;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Tableau: Mastering Calculations;Course;;;Show more options for Tableau: Mastering Calculations;;;Save;;;3h 15m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Heidi Kalbe;;;
DC.js for Data Science Essential Training;Course;;;Show more options for DC.js for Data Science Essential Training;;;Save;;;5h 3m;;Beginner + Intermediate;;;Jan 2017;;;;;LinkedIn;;By: Emma Saunders;;;
Listen: Olga Tsubiks;Audio;;;Show more options for Listen: Olga Tsubiks;;;Save;;;11m;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Visual Communication for Business Professionals;Learning Path;;;Show more options for Visual Communication for Business Professionals;;;Save;;;7h 17m;;;Updated Dec 2021;;;;;LinkedIn;;;;;;;
Listen: Federica Fragapane;Audio;;;Show more options for Listen: Federica Fragapane;;;Save;;;17m;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Tableau and R for Analytics Projects;Course;;;Show more options for Tableau and R for Analytics Projects;;;Save;;;2h 27m;;Intermediate;;;Nov 2019;;;;;LinkedIn;;By: Curt Frye;;;
Lesson: DataViz critique;Audio;;;Show more options for Lesson: DataViz critique;;;Save;;;3m 59s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Diversity and Inclusion;Audio;;;Show more options for Lesson: Diversity and Inclusion;;;Save;;;4m 50s;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Listen: Kaumudi Goda;Audio;;;Show more options for Listen: Kaumudi Goda;;;Save;;;22m;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
What tools should you know;Audio;;;Show more options for What tools should you know;;;Save;;;4m 25s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Storytelling Basics;;;;
Explore a Career as a Power BI Specialist;Learning Path;;;Show more options for Explore a Career as a Power BI Specialist;;;Save;;;18h;;;Updated 1 month ago;;;;;LinkedIn;;;;;;;
Nano Tips for Data Storytelling and Visualization with Lachezar Arabadzhiev;Course;;;Show more options for Nano Tips for Data Storytelling and Visualization with Lachezar Arabadzhiev;;;Save;;;10m;;General;;;Feb 2023;;;;;LinkedIn;;By: Lachezar Arabadzhiev;;;
Listen: Kathy Rowell;Audio;;;Show more options for Listen: Kathy Rowell;;;Save;;;22m;;;Updated 5 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Listen: Amy Cesal;Audio;;;Show more options for Listen: Amy Cesal;;;Save;;;13m;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Unicorns;Audio;;;Show more options for Lesson: Unicorns;;;Save;;;5m 7s;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Lesson: Best practices in Excel;Audio;;;Show more options for Lesson: Best practices in Excel;;;Save;;;4m 24s;;;Updated 3 weeks ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
Listen: Alvin Chang;Audio;;;Show more options for Listen: Alvin Chang;;;Save;;;24m;;;Updated 4 days ago;;;;;LinkedIn;;;From the course: Data Visualization: A Lesson and Listen Series;;;;
