0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Azure AI Engineer Associate (AI-102) Cert Prep: Implement Natural Language Processing Solutions;Course;;;Show more options for Azure AI Engineer Associate (AI-102) Cert Prep: Implement Natural Language Processing Solutions;;;Save;;;3h 57m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Gerry O'Brien;;;
AI Workshop: Advanced Chatbot Development;Course;Popular;;;Show more options for AI Workshop: Advanced Chatbot Development;;;Save;;;3h 38m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Axel Sirota;
Natural Language Processing with PyTorch;Course;;;Show more options for Natural Language Processing with PyTorch;;;Save;;;41m;;Intermediate;;;Apr 2022;;;;;LinkedIn;;By: Zhongyu Pan;;;
Advanced AI: NLP Techniques for Clinical Datasets;Course;;;Show more options for Advanced AI: NLP Techniques for Clinical Datasets;;;Save;;;43m;;Advanced;;;Nov 2022;;;;;LinkedIn;;By: Wuraola Oyewusi;;;
Introduction to NLP Using R;Course;;;Show more options for Introduction to NLP Using R;;;Save;;;2h 32m;;Advanced;;;May 2023;;;;;LinkedIn;;By: Mark Niemann-Ross;;;
Applied AI: Building NLP Apps with Hugging Face Transformers;Course;Popular;;;Show more options for Applied AI: Building NLP Apps with Hugging Face Transformers;;;Save;;;57m;;;;Intermediate;Feb 2023;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
Generative AI: Introduction to Large Language Models;Course;Popular;;;Show more options for Generative AI: Introduction to Large Language Models;;;Save;;;1h 36m;;;;Intermediate;Nov 2023;;;;;LinkedIn;;;By: Frederick Nwanganga;
Building Bots with Node.js;Course;;;Show more options for Building Bots with Node.js;;;Save;;;2h 7m;;Intermediate;;;Oct 2019;;;;;LinkedIn;;By: Daniel Khan;;;
Generative NLP with Variational AutoEncoders;Course;;;Show more options for Generative NLP with Variational AutoEncoders;;;Save;;;4h 44m;;Intermediate;;;4 months ago;;;;;LinkedIn;;By: Axel Sirota;;;
Generative AI and Large Language Models on AWS;Course;;;Show more options for Generative AI and Large Language Models on AWS;;;Save;;;2h 3m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Noah Gift;;;
TensorFlow: Working with NLP;Course;;;Show more options for TensorFlow: Working with NLP;;;Save;;;41m;;Intermediate;;;Updated 3 months ago;;;;;LinkedIn;;By: Jonathan Fernandes;;;
Build Your Own GPTs;Course;Popular;;;Show more options for Build Your Own GPTs;;;Save;;;46m;;;;Beginner;Feb 2024;;;;;LinkedIn;;;By: Alina Zhang;
Using Lightweight AI with Small Language Models;Course;;;Show more options for Using Lightweight AI with Small Language Models;;;Save;;;16m;;General;;;4 months ago;;;;;LinkedIn;;By: Morten Rand-Hendriksen;;;
Natural Language Processing with ML.NET by Microsoft Press;Course;;;Show more options for Natural Language Processing with ML.NET by Microsoft Press;;;Save;;;2h 55m;;Intermediate;;;4 months ago;;;;;LinkedIn;;By: Microsoft Press and Carlotta Castelluccio;;;
AI Show: Building NLP models with Azure ML AutoML;Course;;;Show more options for AI Show: Building NLP models with Azure ML AutoML;;;Save;;;13m;;Intermediate;;;Mar 2023;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
Building a React Project with Google Bard and the PalM2 API;Course;Popular;;;Show more options for Building a React Project with Google Bard and the PalM2 API;;;Save;;;1h 21m;;;;Intermediate;Sep 2023;;;;;LinkedIn;;;By: Ray Villalobos;
Building Intelligent Chatbots on AWS;Course;Popular;;;Show more options for Building Intelligent Chatbots on AWS;;;Save;;;1h 13m;;;;Advanced;Sep 2023;;;;;LinkedIn;;;By: Bear Cahill;
Hands-On Generative AI: Applying Your Tabular Data With ChatGPT, GPT-4, and LangChain;Course;Popular;;;Show more options for Hands-On Generative AI: Applying Your Tabular Data With ChatGPT, GPT-4, and LangChain;;;Save;;;1h 5m;;;;Intermediate;Dec 2023;;;;;LinkedIn;;;By: Alina Zhang;
Small Language Models and LlamaFile;Course;;;Show more options for Small Language Models and LlamaFile;;;Save;;;11m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Noah Gift;;;
Developing Chatbots with Azure;Course;;;Show more options for Developing Chatbots with Azure;;;Save;;;1h 2m;;Intermediate;;;Jan 2021;;;;;LinkedIn;;By: Bhavani Ravi;;;
Introduction to Conversational AI;Course;Popular;;;Show more options for Introduction to Conversational AI;;;Save;;;31m;;;;Beginner;Mar 2023;;;;;LinkedIn;;;By: Ian Barkin;
Creating a Chat Tool Using OpenAI Models and Pinecone;Course;Popular;;;Show more options for Creating a Chat Tool Using OpenAI Models and Pinecone;;;Save;;;1h 31m;;;;Intermediate;3 months ago;;;;;LinkedIn;;;By: Guil Hernandez;
Installing, Running and Testing LLMs on Your Local Computer;Course;;;Show more options for Installing, Running and Testing LLMs on Your Local Computer;;;Save;;;14m;;General;;;Jan 2024;;;;;LinkedIn;;By: Ray Villalobos;;;
RAG and Fine-Tuning Explained;Course;;;Show more options for RAG and Fine-Tuning Explained;;;Save;;;20m;;General;;;3 months ago;;;;;LinkedIn;;By: Morten Rand-Hendriksen;;;
Grounding Techniques for LLMs;Course;;;Show more options for Grounding Techniques for LLMs;;;Save;;;2h 44m;;Intermediate;;;1 month ago;;;;;LinkedIn;;By: Denys Linkov;;;
NLP with Tidytext R;Course;;;Show more options for NLP with Tidytext R;;;Save;;;48m;;Advanced;;;May 2023;;;;;LinkedIn;;By: Mark Niemann-Ross;;;
Fine-Tune Your LLMs;Course;Popular;;;Show more options for Fine-Tune Your LLMs;;;Save;;;1h 14m;;;;Advanced;Apr 2024;;;;;LinkedIn;;;By: Kesha Williams;
Complete Guide to NLP with R;Course;;;Show more options for Complete Guide to NLP with R;;;Save;;;5h 4m;;Advanced;;;2 months ago;;;;;LinkedIn;;By: Mark Niemann-Ross;;;
Hands-On AI: Building LLM-Powered Apps;Course;;;Show more options for Hands-On AI: Building LLM-Powered Apps;;;Save;;;1h 16m;;Intermediate;;;Feb 2024;;;;;LinkedIn;;By: Han-chung Lee;;;
Developing with Llama 3: Meta's Innovative and Open Large Language Model;Course;;;"Show more options for Developing with Llama 3: Meta&amp;#39;s Innovative and Open Large Language Model";;;Save;;;15m;;General;;;3 months ago;;;;;LinkedIn;;By: Ray Villalobos;;;
The OWASP Top 10 for Large Language Model (LLM) Applications: An Overview;Course;;;Show more options for The OWASP Top 10 for Large Language Model (LLM) Applications: An Overview;;;Save;;;51m;;Intermediate;;;Mar 2024;;;;;LinkedIn;;By: Reet Kaur;;;
LLMs for Enterprise: Technical Protocols, Considerations, and Data Privacy;Course;;;Show more options for LLMs for Enterprise: Technical Protocols, Considerations, and Data Privacy;;;Save;;;15m;;Intermediate;;;1 month ago;;;;;LinkedIn;;By: Denys Linkov;;;
Responsible Generative AI and Local LLMs;Course;Popular;;;Show more options for Responsible Generative AI and Local LLMs;;;Save;;;1h 48m;;;;Intermediate;2 months ago;;;;;LinkedIn;;;By: Noah Gift;
Prompt Engineering: How to Talk to the AIs;Course;Popular;;;Show more options for Prompt Engineering: How to Talk to the AIs;;;Save;;;29m;;;;Beginner;Apr 2023;;;;;LinkedIn;;;By: Xavier Amatriain;
Building a Personalized Chatbot with OpenAI and LangChain;Course;Popular;;;Show more options for Building a Personalized Chatbot with OpenAI and LangChain;;;Save;;;22m;;;;Intermediate;3 months ago;;;;;LinkedIn;;;By: Dhhyey Desai;
Generative AI and LLMOps: Building Blocks and Applications;Course;;;Show more options for Generative AI and LLMOps: Building Blocks and Applications;;;Save;;;1h 21m;;Advanced;;;Feb 2024;;;;;LinkedIn;;By: Archana Vaidheeswaran and Soham Chatterjee;;;
Develop Your Skills with Large Language Models;Learning Path;;;Show more options for Develop Your Skills with Large Language Models;;;Save;;;11h;;;Updated 3 months ago;;;;;LinkedIn;;;;;;;
AI in Connected Products (AIOT);Course;Popular;;;Show more options for AI in Connected Products (AIOT);;;Save;;;1h 8m;;;;Beginner;May 2023;;;;;LinkedIn;;;By: Sudha Jamthe;
Building Skills with Semantic Kernel;Course;;;Show more options for Building Skills with Semantic Kernel;;;Save;;;1h 6m;;Intermediate;;;Apr 2023;;;;;LinkedIn;;By: John Maeda;;;
Creating GPTs with Actions;Course;Popular;;;Show more options for Creating GPTs with Actions;;;Save;;;1h 26m;;;;Intermediate;Mar 2024;;;;;LinkedIn;;;By: Kesha Williams;
Building a Project with the ChatGPT API;Course;Popular;;;Show more options for Building a Project with the ChatGPT API;;;Save;;;1h 56m;;;;Intermediate;Dec 2023;;;;;LinkedIn;;;By: Kesha Williams;
NLP with Quanteda R;Course;;;Show more options for NLP with Quanteda R;;;Save;;;1h 38m;;Advanced;;;Mar 2023;;;;;LinkedIn;;By: Mark Niemann-Ross;;;
Exploring Million-Token Models with Google Gemini Pro 1.5;Course;Popular;;;Show more options for Exploring Million-Token Models with Google Gemini Pro 1.5;;;Save;;;18m;;;;General;Apr 2024;;;;;LinkedIn;;;By: Ray Villalobos;
AI Show: Meta Llama 2 Foundational Model with Prompt Flow;Course;;;Show more options for AI Show: Meta Llama 2 Foundational Model with Prompt Flow;;;Save;;;17m;;Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
Prompt Engineering with LangChain;Course;;;Show more options for Prompt Engineering with LangChain;;;Save;;;5h 21m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Harpreet Sahota;;;
Advanced LLMOps: Deploying and Managing LLMs in Production;Course;;;Show more options for Advanced LLMOps: Deploying and Managing LLMs in Production;;;Save;;;1h 45m;;Advanced;;;2 months ago;;;;;LinkedIn;;By: Archana Vaidheeswaran and Soham Chatterjee;;;
Hands-On Generative AI with Multi-Agent LangChain: Building Real-World Applications;Course;Popular;;;Show more options for Hands-On Generative AI with Multi-Agent LangChain: Building Real-World Applications;;;Save;;;41m;;;;Intermediate;Feb 2024;;;;;LinkedIn;;;By: Nayan Saxena;
LLM Foundations: Building Effective Applications for Enterprises;Course;;;Show more options for LLM Foundations: Building Effective Applications for Enterprises;;;Save;;;1h 43m;;Advanced;;;3 months ago;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG);Course;;;Show more options for LLM Foundations: Vector Databases for Caching and Retrieval Augmented Generation (RAG);;;Save;;;1h 33m;;Advanced;;;Feb 2024;;;;;LinkedIn;;By: Kumaran Ponnambalam;;;
Introduction to AI Orchestration with LangChain and LlamaIndex;Course;;;Show more options for Introduction to AI Orchestration with LangChain and LlamaIndex;;;Save;;;1h 27m;;Intermediate;;;Feb 2024;;;;;LinkedIn;;By: M. Joel Dubinko;;;
Become an AI Engineer;Learning Path;;;Show more options for Become an AI Engineer;;;Save;;;12h;;;Updated 4 months ago;;;;;LinkedIn;;;;;;;
Hands-On AI: RAG using LlamaIndex;Course;;;Show more options for Hands-On AI: RAG using LlamaIndex;;;Save;;;6h 25m;;Advanced;;;2 months ago;;;;;LinkedIn;;By: Harpreet Sahota;;;
LLaMa for Developers;Course;Updated;;;Show more options for LLaMa for Developers;;;Save;;;1h 42m;;;;Intermediate;Updated 1 month ago;;;;;LinkedIn;;;By: Denys Linkov;
Introduction to AI-Native Vector Databases;Course;;;Show more options for Introduction to AI-Native Vector Databases;;;Save;;;2h 47m;;Intermediate;;;Dec 2023;;;;;LinkedIn;;By: Zain Hasan;;;
Building Apps with AI Tools: ChatGPT, Semantic Kernel, and Langchain;Course;;;Show more options for Building Apps with AI Tools: ChatGPT, Semantic Kernel, and Langchain;;;Save;;;1h 32m;;Advanced;;;Sep 2023;;;;;LinkedIn;;By: Denys Linkov;;;
ChatGPT: Publishing GPTs on the GPT Store;Course;Popular;;;Show more options for ChatGPT: Publishing GPTs on the GPT Store;;;Save;;;20m;;;;General;Jan 2024;;;;;LinkedIn;;;By: Morten Rand-Hendriksen;
Microsoft Teams Bot Development;Course;;;Show more options for Microsoft Teams Bot Development;;;Save;;;1h 57m;;Intermediate;;;Feb 2018;;;;;LinkedIn;;By: Sahil Malik;;;
Azure AI Fundamentals (AI-900) Cert Prep: 1 Conversational AI on Azure;Course;;;Show more options for Azure AI Fundamentals (AI-900) Cert Prep: 1 Conversational AI on Azure;;;Save;;;1h 4m;;Intermediate;;;Sep 2022;;;;;LinkedIn;;By: Jamie Maguire;;;
Introduction to LLM Vulnerabilities;Course;New;Popular;;;Show more options for Introduction to LLM Vulnerabilities;;;Save;;;;;1h 25m;;Intermediate;3 weeks ago;;;;;;LinkedIn;;By: Alfredo Deza and Pragmatic AI Labs
OpenAI API: Building Assistants;Course;Popular;;;Show more options for OpenAI API: Building Assistants;;;Save;;;34m;;;;Beginner;Dec 2023;;;;;LinkedIn;;;By: Morten Rand-Hendriksen;
Develop Your Skills with the OpenAI API;Learning Path;;;Show more options for Develop Your Skills with the OpenAI API;;;Save;;;5h 10m;;;Updated 2 months ago;;;;;LinkedIn;;;;;;;
Building Chatbots Using Google Dialogflow;Course;;;Show more options for Building Chatbots Using Google Dialogflow;;;Save;;;1h 38m;;Intermediate;;;Dec 2019;;;;;LinkedIn;;By: Lee Assam;;;
Level up LLM applications development with LangChain and OpenAI;Course;New;;;Show more options for Level up LLM applications development with LangChain and OpenAI;;;Save;;;3h 52m;;;;Beginner + Intermediate;1 week ago;;;;;LinkedIn;;;By: Sandy Ludosky;
Getting Started with Building Custom GPTs;Learning Path;;;Show more options for Getting Started with Building Custom GPTs;;;Save;;;1h 26m;;;Updated Jan 2024;;;;;LinkedIn;;;;;;;
Develop Your Prompt Engineering Skills;Learning Path;;;Show more options for Develop Your Prompt Engineering Skills;;;Save;;;6h 6m;;;Updated 2 weeks ago;;;;;LinkedIn;;;;;;;
Vector Databases Professional Certificate by Weaviate;Professional Certificate;;;Show more options for Vector Databases Professional Certificate by Weaviate;;;Save;;;4h 38m;;;Updated 2 months ago;;;;;;Provided by Weaviate and LinkedIn;;;;;;
Rust LLMOps;Course;;;Show more options for Rust LLMOps;;;Save;;;3h 53m;;Intermediate;;;2 months ago;;;;;LinkedIn;;By: Noah Gift;;;
Building RAG Solutions with Azure AI Studio;Course;;;Show more options for Building RAG Solutions with Azure AI Studio;;;Save;;;1h 24m;;Intermediate;;;2 months ago;;;;;LinkedIn;;By: Ziggy Zulueta;;;
Building Secure and Trustworthy LLMs Using NVIDIA Guardrails;Course;New;;;Show more options for Building Secure and Trustworthy LLMs Using NVIDIA Guardrails;;;Save;;;56m;;;;Intermediate;3 weeks ago;;;;;LinkedIn;;;By: Nayan Saxena;
Advance Your AWS Development Skills: Exploring Complex Application Development;Learning Path;;;Show more options for Advance Your AWS Development Skills: Exploring Complex Application Development;;;Save;;;12h;;;Updated 3 months ago;;;;;LinkedIn;;;;;;;
RAG Tuned AIs with the Cohere API Platform;Course;New;Popular;;;Show more options for RAG Tuned AIs with the Cohere API Platform;;;Save;;;;;21m;;General;3 weeks ago;;;;;;LinkedIn;;By: Ray Villalobos
