0;12;15;18;37;41;45;47;51;55;65;70;72;73;75;77;82;87;88;89;92;97;101;102;106;111
Competitive advantage with AI;Audio;;;Show more options for Competitive advantage with AI;;;Save;;;1m 13s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Superhuman Innovation (Blinkist Summary);;;;
Machine Learning and AI Foundations: Classification Modeling;Course;Popular;;;Show more options for Machine Learning and AI Foundations: Classification Modeling;;;Save;;;2h 5m;;;;Intermediate;Updated Jan 2024;;;;;LinkedIn;;;By: Keith McCormick;
Introduction to Generative AI with GPT;Course;Popular;;;Show more options for Introduction to Generative AI with GPT;;;Save;;;1h 5m;;;;Beginner;Sep 2023;;;;;LinkedIn;;;By: Jonathan Reichental;
Building Recommender Systems with Machine Learning and AI;Course;;;Show more options for Building Recommender Systems with Machine Learning and AI;;;Save;;;9h 5m;;Beginner + Intermediate;;;Updated Apr 2020;;;;;LinkedIn;;By: Frank Kane;;;
Learning XAI: Explainable Artificial Intelligence;Course;;;Show more options for Learning XAI: Explainable Artificial Intelligence;;;Save;;;1h 14m;;Beginner + Intermediate;;;Feb 2019;;;;;LinkedIn;;By: Aki Ohashi;;;
Machine Learning and AI Foundations: Recommendations;Course;;;Show more options for Machine Learning and AI Foundations: Recommendations;;;Save;;;58m;;Intermediate;;;Apr 2017;;;;;LinkedIn;;By: Adam Geitgey;;;
Experiment, solve problems, and get results;Audio;;;Show more options for Experiment, solve problems, and get results;;;Save;;;2m 46s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Superhuman Innovation (Blinkist Summary);;;;
Hands-on Data Science and AI for Healthcare;Course;Updated;Popular;;;Show more options for Hands-on Data Science and AI for Healthcare;;;Save;;;;;39m;;Advanced;Updated 3 weeks ago;;;;;;LinkedIn;;By: Wuraola Oyewusi
Applying AI as a Tech Leader;Learning Path;;;Show more options for Applying AI as a Tech Leader;;;Save;;;12h;;;Updated 2 months ago;;;;;LinkedIn;;;;;;;
What is a day in your life as a software engineer like?;Audio;;;Show more options for What is a day in your life as a software engineer like?;;;Save;;;1m 56s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Machine Learning and AI Foundations: Prediction, Causation, and Statistical Inference;Course;;;Show more options for Machine Learning and AI Foundations: Prediction, Causation, and Statistical Inference;;;Save;;;2h 2m;;Intermediate;;;Mar 2022;;;;;LinkedIn;;By: Keith McCormick;;;
Using AI to Improve Ops for Your Data Organization;Course;Popular;;;Show more options for Using AI to Improve Ops for Your Data Organization;;;Save;;;1h 1m;;;;Intermediate;1 month ago;;;;;LinkedIn;;;By: Priya Mohan;
Socio-technical change;Audio;;;Show more options for Socio-technical change;;;Save;;;2m 33s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
Get Ready for Generative AI;Course;Popular;;;Show more options for Get Ready for Generative AI;;;Save;;;5m 26s;;;;Beginner;Feb 2023;;;;;LinkedIn;;;By: Ashley Kennedy;
Machine Learning and AI Foundations: Causal Inference and Modeling;Course;;;Show more options for Machine Learning and AI Foundations: Causal Inference and Modeling;;;Save;;;2h 51m;;Advanced;;;Jul 2022;;;;;LinkedIn;;By: Keith McCormick;;;
Big Data in the Age of AI;Course;Popular;;;Show more options for Big Data in the Age of AI;;;Save;;;2h 7m;;;;Beginner;Sep 2019;;;;;LinkedIn;;;By: Barton Poulson;
Who AI is developed for;Audio;;;Show more options for Who AI is developed for;;;Save;;;2m 56s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
Artificial General Intelligence: The Technology, Impact, and Ethics;Course;;;Show more options for Artificial General Intelligence: The Technology, Impact, and Ethics;;;Save;;;55m;;Beginner;;;2 months ago;;;;;LinkedIn;;By: Vilas Dhar;;;
Google Cloud Digital Cloud Leader Cert Prep: 3 Innovating with Google Cloud Artificial Intelligence;Course;;;Show more options for Google Cloud Digital Cloud Leader Cert Prep: 3 Innovating with Google Cloud Artificial Intelligence;;;Save;;;36m;;Beginner;;;Mar 2024;;;;;LinkedIn;;By: Google Cloud;;;
AI and the Future of Work: Workflows and Modern Tools for Tech Leaders;Course;;;Show more options for AI and the Future of Work: Workflows and Modern Tools for Tech Leaders;;;Save;;;1h 5m;;General;;;Jan 2024;;;;;LinkedIn;;By: Kristen Kehrer;;;
Azure AI: The Big Picture;Course;;;Show more options for Azure AI: The Big Picture;;;Save;;;1h 34m;;Beginner;;;Oct 2023;;;;;LinkedIn;;By: Walt Ritscher;;;
Hands-On AI: Build a Generative Language Model from Scratch;Course;Popular;;;Show more options for Hands-On AI: Build a Generative Language Model from Scratch;;;Save;;;34m;;;;Advanced;Sep 2023;;;;;LinkedIn;;;By: Ronnie Sheer;
Introducing AI to Your Organization;Course;;;Show more options for Introducing AI to Your Organization;;;Save;;;53m;;Beginner;;;Sep 2019;;;;;LinkedIn;;By: Jonathan Fernandes;;;
Train machine learning models;Audio;;;Show more options for Train machine learning models;;;Save;;;1m;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
AI-Powered Time Series Forecasting with Python;Course;Popular;;;Show more options for AI-Powered Time Series Forecasting with Python;;;Save;;;2h 11m;;;;Intermediate;1 month ago;;;;;LinkedIn;;;By: Tobias Zwingmann;
Machine Learning and AI Foundations: Clustering and Association;Course;Popular;;;Show more options for Machine Learning and AI Foundations: Clustering and Association;;;Save;;;3h 33m;;;;Intermediate;Updated Jan 2024;;;;;LinkedIn;;;By: Keith McCormick;
AI in Cybersecurity: The Future of Red Teaming and Blue Teaming;Course;;;Show more options for AI in Cybersecurity: The Future of Red Teaming and Blue Teaming;;;Save;;;40m;;Intermediate;;;4 months ago;;;;;LinkedIn;;By: Mike Wylie;;;
Azure AI Engineering: Speech, Language, and Vision Solutions;Course;;;Show more options for Azure AI Engineering: Speech, Language, and Vision Solutions;;;Save;;;1h 51m;;Intermediate;;;4 months ago;;;;;LinkedIn;;By: Microsoft Learn;;;
Design to Code: Using AI to Build Faster;Course;;;Show more options for Design to Code: Using AI to Build Faster;;;Save;;;1h 21m;;Intermediate;;;Dec 2023;;;;;LinkedIn;;By: Drew Falkman;;;
Machine Learning and AI Foundations: Value Estimations;Course;;;Show more options for Machine Learning and AI Foundations: Value Estimations;;;Save;;;1h 4m;;Beginner + Intermediate;;;Mar 2017;;;;;LinkedIn;;By: Adam Geitgey;;;
AI speaks the language of data;Audio;;;Show more options for AI speaks the language of data;;;Save;;;2m 24s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Superhuman Innovation (Blinkist Summary);;;;
Introduction to AI Governance;Course;Popular;;;Show more options for Introduction to AI Governance;;;Save;;;59m;;;;Beginner;Feb 2024;;;;;LinkedIn;;;By: Vidhi Chugh;
AI Pricing: A Technical Breakdown of the Cost and Revenue Opportunities;Course;;;Show more options for AI Pricing: A Technical Breakdown of the Cost and Revenue Opportunities;;;Save;;;2h 54m;;Intermediate;;;Apr 2024;;;;;LinkedIn;;By: Denys Linkov;;;
Pair Programming with AI;Course;Popular;;;Show more options for Pair Programming with AI;;;Save;;;1h 28m;;;;Advanced;Apr 2023;;;;;LinkedIn;;;By: Morten Rand-Hendriksen;
LinkedIn AI Academy AI-100: 1 Demystifying AI;Course;Popular;;;Show more options for LinkedIn AI Academy AI-100: 1 Demystifying AI;;;Save;;;1h 2m;;;;Intermediate;May 2023;;;;;LinkedIn;;;By: Souvik Ghosh;
Resources to get you started in ML engineering;Audio;;;Show more options for Resources to get you started in ML engineering;;;Save;;;1m 25s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
The State of Generative AI: Images, Prompting, and Language Models;Course;;;Show more options for The State of Generative AI: Images, Prompting, and Language Models;;;Save;;;14m;;General;;;Feb 2024;;;;;LinkedIn;;By: Ray Villalobos;;;
Machine learning engineering in a nutshell;Audio;;;Show more options for Machine learning engineering in a nutshell;;;Save;;;1m 6s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
AI in Fintech Essential Training;Course;;;Show more options for AI in Fintech Essential Training;;;Save;;;2h 19m;;Intermediate;;;4 months ago;;;;;LinkedIn;;By: Michael McDonald;;;
Programming Foundations: Algorithms;Course;Popular;;;Show more options for Programming Foundations: Algorithms;;;Save;;;1h 45m;;;;Beginner;Updated Apr 2024;;;;;LinkedIn;;;By: Joe Marini;
Advanced Python Projects: Build AI Applications;Course;Popular;;;Show more options for Advanced Python Projects: Build AI Applications;;;Save;;;1h 22m;;;;Advanced;Apr 2024;;;;;LinkedIn;;;By: Priya Mohan;
How much data science knowledge should ML engineers have?;Audio;;;Show more options for How much data science knowledge should ML engineers have?;;;Save;;;50s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
LinkedIn's AI Academy;Learning Path;;;"Show more options for LinkedIn&amp;#39;s AI Academy";;;Save;;;3h 54m;;;May 2023;;;;;LinkedIn;;;;;;;
Autonomous systems and society;Audio;;;Show more options for Autonomous systems and society;;;Save;;;1m 50s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
Hands-On Projects for OpenAI-Powered Apps;Learning Path;;;Show more options for Hands-On Projects for OpenAI-Powered Apps;;;Save;;;7h 1m;;;Updated Apr 2024;;;;;LinkedIn;;;;;;;
AI-Powered Programming with GitHub Copilot by Microsoft Press;Course;;;Show more options for AI-Powered Programming with GitHub Copilot by Microsoft Press;;;Save;;;3h 25m;;Beginner + Intermediate;;;Jan 2024;;;;;LinkedIn;;By: Microsoft Press and Tim Warner;;;
AI Meets Accessibility: A Conversation with Ioana Tanase and Christina Mallon;Course;;;Show more options for AI Meets Accessibility: A Conversation with Ioana Tanase and Christina Mallon;;;Save;;;37m;;General;;;Mar 2024;;;;;LinkedIn;;By: Morten Rand-Hendriksen;;;
Generative AI and Predictive AI in the Cloud: Foundational Concepts and Scenarios;Course;;;Show more options for Generative AI and Predictive AI in the Cloud: Foundational Concepts and Scenarios;;;Save;;;1h;;Beginner;;;Feb 2024;;;;;LinkedIn;;By: Thomas Erl;;;
No-Code AI: Harness the Power of AI without Programming;Course;;;Show more options for No-Code AI: Harness the Power of AI without Programming;;;Save;;;40m;;Beginner;;;Jul 2022;;;;;LinkedIn;;By: Sudha Jamthe;;;
Build systems around machine learning algorithms;Audio;;;Show more options for Build systems around machine learning algorithms;;;Save;;;1m 8s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Learning AI with GitHub Copilot;Course;;;Show more options for Learning AI with GitHub Copilot;;;Save;;;1h 4m;;Beginner;;;Aug 2023;;;;;LinkedIn;;By: Microsoft Learn;;;
Using Lightweight AI with Small Language Models;Course;;;Show more options for Using Lightweight AI with Small Language Models;;;Save;;;16m;;General;;;4 months ago;;;;;LinkedIn;;By: Morten Rand-Hendriksen;;;
AI increases understanding;Audio;;;Show more options for AI increases understanding;;;Save;;;2m 55s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Superhuman Innovation (Blinkist Summary);;;;
Design machine learning systems and applications;Audio;;;Show more options for Design machine learning systems and applications;;;Save;;;1m 24s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Understanding and implementing data-driven marketing;Audio;;;Show more options for Understanding and implementing data-driven marketing;;;Save;;;4m 19s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Driven: Harnessing Data and AI to Reinvent Customer Engagement (getAbstract Summary);;;;
Advance Your Skills in AI and Machine Learning;Learning Path;;;Show more options for Advance Your Skills in AI and Machine Learning;;;Save;;;21h;;;Updated Feb 2024;;;;;LinkedIn;;;;;;;
Complete Guide to Data Lakes and Lakehouses;Course;Popular;;;Show more options for Complete Guide to Data Lakes and Lakehouses;;;Save;;;5h 39m;;;;Advanced;1 month ago;;;;;LinkedIn;;;By: Thalia Barrera;
Bias in the design and development lifecycle;Audio;;;Show more options for Bias in the design and development lifecycle;;;Save;;;4m 3s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
AI and work processes;Audio;;;Show more options for AI and work processes;;;Save;;;2m 54s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Superhuman Innovation (Blinkist Summary);;;;
Data-driven marketing: Maturity level and common pitfalls;Audio;;;Show more options for Data-driven marketing: Maturity level and common pitfalls;;;Save;;;5m 17s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Data Driven: Harnessing Data and AI to Reinvent Customer Engagement (getAbstract Summary);;;;
Beneficence vs. maleficence;Audio;;;Show more options for Beneficence vs. maleficence;;;Save;;;1m 29s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
Advanced Azure AI Engineering with AI Search and OpenAI;Course;;;Show more options for Advanced Azure AI Engineering with AI Search and OpenAI;;;Save;;;5h 58m;;Intermediate;;;4 months ago;;;;;LinkedIn;;By: Microsoft Learn;;;
Causal AI: A Tech Primer;Course;;;Show more options for Causal AI: A Tech Primer;;;Save;;;25m;;Intermediate;;;Jul 2023;;;;;LinkedIn;;By: Robert Joseph, Ph.D.;;;
What skills do you look for in machine learning engineers?;Audio;;;Show more options for What skills do you look for in machine learning engineers?;;;Save;;;2m 1s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
AI Projects with Python, TensorFlow, and NLTK;Course;;;Show more options for AI Projects with Python, TensorFlow, and NLTK;;;Save;;;24m;;Intermediate;;;Mar 2024;;;;;LinkedIn;;By: Dhhyey Desai;;;
Process large data sets;Audio;;;Show more options for Process large data sets;;;Save;;;1m 14s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Creating an AI Adoption Strategy for Businesses;Course;;;Show more options for Creating an AI Adoption Strategy for Businesses;;;Save;;;24m;;General;;;Apr 2024;;;;;LinkedIn;;By: Jim Sterne and Madecraft;;;
Applied AI for Human Resources;Course;Popular;;;Show more options for Applied AI for Human Resources;;;Save;;;1h 19m;;;;Intermediate;Updated Jan 2024;;;;;LinkedIn;;;By: Kumaran Ponnambalam;
AI Fundamentals for Data Professionals;Course;;;Show more options for AI Fundamentals for Data Professionals;;;Save;;;1h 7m;;Intermediate;;;Dec 2023;;;;;LinkedIn;;By: Sadie St. Lawrence;;;
Getting Started with Building Custom GPTs;Learning Path;;;Show more options for Getting Started with Building Custom GPTs;;;Save;;;1h 26m;;;Updated Jan 2024;;;;;LinkedIn;;;;;;;
Become an AI Engineer;Learning Path;;;Show more options for Become an AI Engineer;;;Save;;;12h;;;Updated 4 months ago;;;;;LinkedIn;;;;;;;
AI Trends;Course;Updated;Popular;;;Show more options for AI Trends;;;Save;;;;;1h 50m;;Beginner;Updated 1 month ago;;;;;;LinkedIn;;By: Walt Ritscher, Han-chung Lee and 9 other authors
Risk mitigation in AI;Audio;;;Show more options for Risk mitigation in AI;;;Save;;;3m 41s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
AI Engineering Essentials: Navigating the Tech Revolution;Course;;;Show more options for AI Engineering Essentials: Navigating the Tech Revolution;;;Save;;;1h 27m;;General;;;Feb 2024;;;;;LinkedIn;;By: John Maeda;;;
Introduction to Auditing AI Systems;Course;;;Show more options for Introduction to Auditing AI Systems;;;Save;;;1h 19m;;Beginner;;;Sep 2023;;;;;LinkedIn;;By: Ayodele Odubela;;;
Deploy machine learning solutions into production;Audio;;;Show more options for Deploy machine learning solutions into production;;;Save;;;1m 14s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Superhuman Innovation (Blinkist Summary);Course;;;Show more options for Superhuman Innovation (Blinkist Summary);;;Save;;;21m;;Beginner;;;Aug 2020;;;;;LinkedIn;;By: Blinkist;;;
Machine Learning and AI Foundations: Producing Explainable AI (XAI) and Interpretable Machine Learning Solutions;Course;;;Show more options for Machine Learning and AI Foundations: Producing Explainable AI (XAI) and Interpretable Machine Learning Solutions;;;Save;;;2h 9m;;Intermediate;;;Feb 2022;;;;;LinkedIn;;By: Keith McCormick;;;
What tools and software do you use frequently?;Audio;;;Show more options for What tools and software do you use frequently?;;;Save;;;1m 39s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Measuring and optimizing performance;Audio;;;Show more options for Measuring and optimizing performance;;;Save;;;2m 33s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Superhuman Innovation (Blinkist Summary);;;;
Implement machine learning algorithms;Audio;;;Show more options for Implement machine learning algorithms;;;Save;;;1m 27s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;Course;;;Show more options for LinkedIn AI Academy AI-100: 2 Supervised Learning with Neural Networks;;;Save;;;1h 9m;;Intermediate;;;May 2023;;;;;LinkedIn;;By: Daniel Hewlett and Ananth Sankar;;;
Ya Xu: How to Turn AI from a Buzz Word to a Business Tool;Course;;;Show more options for Ya Xu: How to Turn AI from a Buzz Word to a Business Tool;;;Save;;;1h 8m;;Intermediate;;;Jun 2023;;;;;LinkedIn;;By: Ya Xu;;;
Microsoft Azure AI Fundamentals (AI-900) Exam Tips;Course;;;Show more options for Microsoft Azure AI Fundamentals (AI-900) Exam Tips;;;Save;;;1h 26m;;Intermediate;;;Oct 2020;;;;;LinkedIn;;By: Emilio Melo;;;
What you can do;Audio;;;Show more options for What you can do;;;Save;;;1m 25s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
GPT-4 Foundations: Building AI-Powered Apps;Course;;;Show more options for GPT-4 Foundations: Building AI-Powered Apps;;;Save;;;1h 2m;;Beginner;;;Jun 2023;;;;;LinkedIn;;By: Denys Linkov;;;
AI Strategy Foundations for Data Scientists and Team Leaders;Course;;;Show more options for AI Strategy Foundations for Data Scientists and Team Leaders;;;Save;;;1h 7m;;Advanced;;;3 months ago;;;;;LinkedIn;;By: Matthew Blasa;;;
Introduction to AWS AI Services for Developers;Course;;;Show more options for Introduction to AWS AI Services for Developers;;;Save;;;51m;;Beginner;;;4 months ago;;;;;LinkedIn;;By: Jeremy Villeneuve;;;
Advanced Prompt Engineering Techniques;Course;Popular;;;Show more options for Advanced Prompt Engineering Techniques;;;Save;;;33m;;;;Advanced;Nov 2023;;;;;LinkedIn;;;By: Morten Rand-Hendriksen;
Top 10 Skills for Machine Learning Professionals;Course;;;Show more options for Top 10 Skills for Machine Learning Professionals;;;Save;;;21m;;Beginner;;;Sep 2022;;;;;LinkedIn;;By: Ben Sullins and Free the Data Academy;;;
Critical AI incidents and learnings;Audio;;;Show more options for Critical AI incidents and learnings;;;Save;;;2m 12s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
RPA, AI, and Cognitive Tech for Leaders;Course;;;Show more options for RPA, AI, and Cognitive Tech for Leaders;;;Save;;;53m;;Beginner;;;Feb 2019;;;;;LinkedIn;;By: Ian Barkin;;;
Transitioning into Machine Learning Engineering;Course;;;Show more options for Transitioning into Machine Learning Engineering;;;Save;;;28m;;Intermediate;;;Sep 2022;;;;;LinkedIn;;By: Khaulat Abdulhakeem;;;
Fairness and inclusivity;Audio;;;Show more options for Fairness and inclusivity;;;Save;;;3m 44s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Tech On the Go: Ethics in AI;;;;
AI potential;Audio;;;Show more options for AI potential;;;Save;;;2m 21s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Superhuman Innovation (Blinkist Summary);;;;
AI Pair Programming with GitHub Copilot;Course;;;Show more options for AI Pair Programming with GitHub Copilot;;;Save;;;1h 17m;;Advanced;;;Updated Mar 2023;;;;;LinkedIn;;By: Ronnie Sheer;;;
AI in Connected Products (AIOT);Course;Popular;;;Show more options for AI in Connected Products (AIOT);;;Save;;;1h 8m;;;;Beginner;May 2023;;;;;LinkedIn;;;By: Sudha Jamthe;
OpenAI API: Introduction;Course;;;Show more options for OpenAI API: Introduction;;;Save;;;5m 21s;;General;;;Jan 2024;;;;;LinkedIn;;By: Morten Rand-Hendriksen;;;
The Power of Accurate Prompting with Anthropic’s Claude;Course;;;Show more options for The Power of Accurate Prompting with Anthropic’s Claude;;;Save;;;21m;;General;;;Dec 2023;;;;;LinkedIn;;By: Ray Villalobos;;;
LinkedIn AI Academy AI-100: 3 Scaling AI at LinkedIn;Course;;;Show more options for LinkedIn AI Academy AI-100: 3 Scaling AI at LinkedIn;;;Save;;;1h 42m;;Beginner;;;May 2023;;;;;LinkedIn;;By: Birjodh Tiwana, Daniel Hewlett and 5 other authors;;;
AI Show: Applied AI - Computer Vision and Optical Character Recognition (OCR);Course;;;Show more options for AI Show: Applied AI - Computer Vision and Optical Character Recognition (OCR);;;Save;;;15m;;Intermediate;;;Mar 2023;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
What do you like the most about your job?;Audio;;;Show more options for What do you like the most about your job?;;;Save;;;56s;;;Updated Oct 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
AI Show: Deep Dive into Responsible AI Dashboard and Scorecard;Course;;;Show more options for AI Show: Deep Dive into Responsible AI Dashboard and Scorecard;;;Save;;;12m;;Intermediate;;;Mar 2023;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
Responsible AI: Principles and Practical Applications;Course;Popular;;;Show more options for Responsible AI: Principles and Practical Applications;;;Save;;;1h 6m;;;;Beginner;Nov 2022;;;;;LinkedIn;;;By: Brandie Nonnecke, Jill Finlayson and 1 other author;
What you should know;Audio;;;Show more options for What you should know;;;Save;;;27s;;;Updated Sep 2023;;;;;LinkedIn;;;From the course: Transitioning into Machine Learning Engineering;;;;
Introduction to AI Orchestration with LangChain and LlamaIndex;Course;;;Show more options for Introduction to AI Orchestration with LangChain and LlamaIndex;;;Save;;;1h 27m;;Intermediate;;;Feb 2024;;;;;LinkedIn;;By: M. Joel Dubinko;;;
Managing AI Security Risks with ISO 27001;Course;;;Show more options for Managing AI Security Risks with ISO 27001;;;Save;;;1h 29m;;Intermediate;;;2 months ago;;;;;LinkedIn;;By: Tino Šokić;;;
AI Techniques for Networking;Course;;;Show more options for AI Techniques for Networking;;;Save;;;1h 13m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Ryan Hu;;;
RAG and Fine-Tuning Explained;Course;;;Show more options for RAG and Fine-Tuning Explained;;;Save;;;20m;;General;;;3 months ago;;;;;LinkedIn;;By: Morten Rand-Hendriksen;;;
AI Show: Audio Analytics with Azure Automated ML;Course;;;Show more options for AI Show: Audio Analytics with Azure Automated ML;;;Save;;;26m;;Intermediate;;;Mar 2023;;;;;LinkedIn;;By: Microsoft Learn and Seth Juarez;;;
Azure AI Engineer Associate (AI-102) Cert Prep: Implement Knowledge Mining Solutions and Document Intelligence Solutions;Course;;;Show more options for Azure AI Engineer Associate (AI-102) Cert Prep: Implement Knowledge Mining Solutions and Document Intelligence Solutions;;;Save;;;1h 48m;;Intermediate;;;Mar 2024;;;;;LinkedIn;;By: Akanksha Malik;;;
DALL-E: the Creative Process and the Art of Prompting;Course;;;Show more options for DALL-E: the Creative Process and the Art of Prompting;;;Save;;;56m;;Beginner + Intermediate;;;Jun 2023;;;;;LinkedIn;;By: Chad Nelson;;;
Security Risks in AI and Machine Learning: Categorizing Attacks and Failure Modes;Course;;;Show more options for Security Risks in AI and Machine Learning: Categorizing Attacks and Failure Modes;;;Save;;;1h 11m;;Beginner;;;Feb 2022;;;;;LinkedIn;;By: Diana Kelley;;;
Tech On the Go: Ethics in AI;Course;;;Show more options for Tech On the Go: Ethics in AI;;;Save;;;40m;;Beginner;;;Jan 2022;;;;;LinkedIn;;By: Ayodele Odubela;;;
Introduction to Multimodal Prompting for Generative AI;Course;;;Show more options for Introduction to Multimodal Prompting for Generative AI;;;Save;;;42m;;Intermediate;;;3 months ago;;;;;LinkedIn;;By: Ronnie Sheer;;;
Writing Good AI Chat Prompts for Business Analysis;Course;Popular;;;Show more options for Writing Good AI Chat Prompts for Business Analysis;;;Save;;;48m;;;;Beginner + Intermediate;1 month ago;;;;;LinkedIn;;;By: Jamie Champagne;
